Age Iter L_ini F_ini Dfin Reinf ReinfFP  FastProg SlowProg
0 0 1586 53 64 7 5 52 7
1 0 1631 8 13 4 3 8 2
2 0 1617 22 40 18 12 22 6
3 0 1619 20 31 15 11 19 1
4 0 1630 9 18 5 4 9 5
5 0 1633 6 15 4 2 5 8
6 0 1634 5 10 6 2 5 3
7 0 1634 5 9 1 1 5 3
8 0 1634 5 9 3 2 5 2
9 0 1634 5 17 6 4 5 8
10 0 1635 4 8 3 3 4 1
11 0 1636 3 9 1 1 3 5
12 0 1637 2 9 1 0 2 7
13 0 1637 2 11 2 2 2 7
14 0 1638 1 4 1 1 1 2
0 1 1575 64 69 10 5 60 4
1 1 1628 11 12 0 0 11 1
2 1 1614 25 36 13 9 25 2
3 1 1617 22 39 16 12 21 6
4 1 1628 11 18 4 2 10 6
5 1 1632 7 18 7 4 7 7
6 1 1632 7 14 4 4 7 3
7 1 1632 7 14 3 0 7 7
8 1 1632 7 15 5 5 6 4
9 1 1633 6 12 5 1 6 5
10 1 1634 5 12 6 2 4 6
11 1 1635 4 10 5 4 3 3
12 1 1635 4 7 2 1 3 3
13 1 1636 3 8 0 0 3 5
14 1 1637 2 9 3 3 2 4
0 2 1590 49 55 3 3 47 5
1 2 1632 7 11 1 1 6 4
2 2 1623 16 18 5 2 13 3
3 2 1628 11 22 7 7 11 4
4 2 1634 5 8 1 0 3 5
5 2 1636 3 8 0 0 3 5
6 2 1636 3 6 1 1 3 2
7 2 1636 3 6 1 0 3 3
8 2 1636 3 11 1 1 3 7
9 2 1637 2 5 0 0 2 3
10 2 1637 2 12 1 1 2 9
11 2 1638 1 7 1 0 1 6
12 2 1638 1 5 1 1 1 3
13 2 1638 1 5 0 0 1 4
14 2 1638 1 6 0 0 1 5
0 3 1587 52 54 1 0 52 2
1 3 1632 7 13 0 0 6 7
2 3 1623 16 23 5 5 14 4
3 3 1623 16 21 7 4 15 2
4 3 1632 7 10 1 0 7 3
5 3 1635 4 8 3 2 4 2
6 3 1636 3 8 1 1 3 4
7 3 1636 3 8 1 1 3 4
8 3 1636 3 10 2 2 3 5
9 3 1636 3 8 1 1 3 4
10 3 1637 2 9 4 3 1 5
11 3 1637 2 8 2 1 2 5
12 3 1638 1 3 0 0 1 2
13 3 1638 1 5 1 1 1 3
14 3 1638 1 9 1 1 1 7
0 4 1584 55 58 7 3 53 2
1 4 1631 8 14 2 1 8 5
2 4 1616 23 28 6 3 22 3
3 4 1615 24 35 12 9 24 2
4 4 1629 10 17 6 4 10 3
5 4 1634 5 7 2 1 5 1
6 4 1635 4 10 2 1 3 6
7 4 1635 4 8 2 1 4 3
8 4 1635 4 14 4 3 3 8
9 4 1635 4 11 1 1 4 6
10 4 1636 3 7 1 0 3 4
11 4 1637 2 9 1 1 2 6
12 4 1637 2 6 1 1 2 3
13 4 1638 1 4 1 0 1 3
14 4 1638 1 8 0 0 1 7
0 5 1580 59 60 4 3 55 2
1 5 1630 9 12 1 0 9 3
2 5 1616 23 30 8 7 21 2
3 5 1619 20 29 14 8 17 4
4 5 1630 9 19 7 7 8 4
5 5 1633 6 11 2 2 6 3
6 5 1634 5 10 1 1 5 4
7 5 1634 5 11 2 2 5 4
