amin	amax	emin	emax	tmin	tmax	value	low up
0 5 0 1 2015 2016 6997245.000000 6997245.000000 6997245.000000
5 10 0 1 2015 2016 6631592.000000 6631592.000000 6631592.000000
10 15 0 1 2015 2016 5900935.000000 5900935.000000 5900935.000000
15 20 0 1 2015 2016 5164150.000000 5164150.000000 5164150.000000
20 25 0 1 2015 2016 4344422.000000 4344422.000000 4344422.000000
25 30 0 1 2015 2016 4059234.000000 4059234.000000 4059234.000000
30 35 0 1 2015 2016 3522249.000000 3522249.000000 3522249.000000
35 40 0 1 2015 2016 2830061.000000 2830061.000000 2830061.000000
40 45 0 1 2015 2016 2142849.000000 2142849.000000 2142849.000000
45 50 0 1 2015 2016 1569009.000000 1569009.000000 1569009.000000
50 55 0 1 2015 2016 1196942.000000 1196942.000000 1196942.000000
55 60 0 1 2015 2016 934781.000000 934781.000000 934781.000000
60 65 0 1 2015 2016 723912.000000 723912.000000 723912.000000
65 70 0 1 2015 2016 497036.000000 497036.000000 497036.000000
70 120 0 1 2015 2016 721842.000000 721842.000000 721842.000000
