amin	amax	emin	emax	tmin	tmax	value	low up
0 5 0 1 2015 2016 5663766.000000 5663766.000000 5663766.000000
5 10 0 1 2015 2016 5379653.000000 5379653.000000 5379653.000000
10 15 0 1 2015 2016 5181944.000000 5181944.000000 5181944.000000
15 20 0 1 2015 2016 5137446.000000 5137446.000000 5137446.000000
20 25 0 1 2015 2016 5158966.000000 5158966.000000 5158966.000000
25 30 0 1 2015 2016 5134451.000000 5134451.000000 5134451.000000
30 35 0 1 2015 2016 4688763.000000 4688763.000000 4688763.000000
35 40 0 1 2015 2016 3914758.000000 3914758.000000 3914758.000000
40 45 0 1 2015 2016 3319227.000000 3319227.000000 3319227.000000
45 50 0 1 2015 2016 2816157.000000 2816157.000000 2816157.000000
50 55 0 1 2015 2016 2412652.000000 2412652.000000 2412652.000000
55 60 0 1 2015 2016 2035084.000000 2035084.000000 2035084.000000
60 65 0 1 2015 2016 1638878.000000 1638878.000000 1638878.000000
65 70 0 1 2015 2016 1121190.000000 1121190.000000 1121190.000000
70 120 0 1 2015 2016 1688290.000000 1688290.000000 1688290.000000
