type age value
ReinfFP 0-5 6.09549589541177
ReinfFP 6-10 5.31837249249869
ReinfFP 11-15 22.6698791932739
ReinfFP 16-20 28.7082369397966
ReinfFP 21-25 20.6243796688084
ReinfFP 26-30 20.0293660390396
ReinfFP 31-35 19.8058452378724
ReinfFP 36-40 19.6338724807414
ReinfFP 41-45 20.2304948321595
ReinfFP 46-50 19.3306272497511
ReinfFP 51-55 16.9172076690474
ReinfFP 56-60 14.8911372315628
ReinfFP 61-65 13.9287520967012
ReinfFP 66-70 10.7338726782414
ReinfFP 70+ 10.8833978053209
FastProg 0-5 88.0883902781248
FastProg 6-10 62.7345310852753
FastProg 11-15 64.3874576670991
FastProg 16-20 58.4598778716307
FastProg 21-25 53.1016559577914
FastProg 26-30 44.1527034030057
FastProg 31-35 41.2714609350134
FastProg 36-40 41.1931360565489
FastProg 41-45 41.8064575139486
FastProg 46-50 40.8660105690434
FastProg 51-55 36.8690864556125
FastProg 56-60 31.6879928582056
FastProg 61-65 28.1344018743843
FastProg 66-70 21.9949701542284
FastProg 70+ 18.5963527275598
SlowProg 0-5 5.81611382646338
SlowProg 6-10 31.947096422226
SlowProg 11-15 12.942663139627
SlowProg 16-20 12.8318851885727
SlowProg 21-25 26.2739643734002
SlowProg 26-30 35.8179305579547
SlowProg 31-35 38.9226938271143
SlowProg 36-40 39.1729914627098
SlowProg 41-45 37.9630476538919
SlowProg 46-50 39.8033621812055
SlowProg 51-55 46.21370587534
SlowProg 56-60 53.4208699102316
SlowProg 61-65 57.9368460289145
SlowProg 66-70 67.2711571675302
SlowProg 70+ 70.5202494671193
