type age value
ReinfFP 0-5 16.9085530342029
ReinfFP 6-10 14.0043657791733
ReinfFP 11-15 43.6014519395418
ReinfFP 16-20 48.4083413166667
ReinfFP 21-25 40.9295696947407
ReinfFP 26-30 42.0413772747816
ReinfFP 31-35 42.7364330577019
ReinfFP 36-40 42.3956301619763
ReinfFP 41-45 42.8146562591653
ReinfFP 46-50 41.7565693984099
ReinfFP 51-55 39.6442532986122
ReinfFP 56-60 37.2567946233693
ReinfFP 61-65 36.0060229625447
ReinfFP 66-70 30.4572349687744
ReinfFP 70+ 29.6878536595403
FastProg 0-5 79.093970036874
FastProg 6-10 64.5581530388404
FastProg 11-15 48.8739749790273
FastProg 16-20 45.127279668836
FastProg 21-25 45.6205618581492
FastProg 26-30 40.1597535441859
FastProg 31-35 37.9030921934541
FastProg 36-40 37.4837681967058
FastProg 41-45 37.52823557863
FastProg 46-50 37.1986092155716
FastProg 51-55 36.2869093417692
FastProg 56-60 34.5778437290651
FastProg 61-65 33.040027605245
FastProg 66-70 30.3915985366937
FastProg 70+ 28.3616946850758
SlowProg 0-5 3.99747692892319
SlowProg 6-10 21.4374811819863
SlowProg 11-15 7.5245730814309
SlowProg 16-20 6.46437901449726
SlowProg 21-25 13.4498684471101
SlowProg 26-30 17.7988691810325
SlowProg 31-35 19.360474748844
SlowProg 36-40 20.1206016413179
SlowProg 41-45 19.6571081622047
SlowProg 46-50 21.0448213860185
SlowProg 51-55 24.0688373596186
SlowProg 56-60 28.1653616475656
SlowProg 61-65 30.9539494322103
SlowProg 66-70 39.1511664945319
SlowProg 70+ 41.9504516553839
