type age value
ReinfFP 0-5 10.0123179666342
ReinfFP 6-10 9.44554577694244
ReinfFP 11-15 35.4290169354489
ReinfFP 16-20 35.0820605883989
ReinfFP 21-25 25.7442442301746
ReinfFP 26-30 27.8528102740582
ReinfFP 31-35 32.1796586974949
ReinfFP 36-40 33.5158004700966
ReinfFP 41-45 33.9911116661983
ReinfFP 46-50 30.6341529560658
ReinfFP 51-55 26.6879805130547
ReinfFP 56-60 23.4834021940447
ReinfFP 61-65 22.1724985647201
ReinfFP 66-70 16.8108971823633
ReinfFP 70+ 15.8180096025084
FastProg 0-5 84.7178527538023
FastProg 6-10 62.0573043496155
FastProg 11-15 53.7045753143814
FastProg 16-20 52.3608149099917
FastProg 21-25 46.1185449638771
FastProg 26-30 32.8341135644868
FastProg 31-35 26.4279659718747
FastProg 36-40 24.0438756855576
FastProg 41-45 23.6789791946379
FastProg 46-50 23.2473784125836
FastProg 51-55 20.1568090127122
FastProg 56-60 16.6035047727597
FastProg 61-65 15.2492970808615
FastProg 66-70 14.2179120062016
FastProg 70+ 12.7429205996669
SlowProg 0-5 5.26982927956348
SlowProg 6-10 28.497149873442
SlowProg 11-15 10.8664077501696
SlowProg 16-20 12.5571245016094
SlowProg 21-25 28.1372108059483
SlowProg 26-30 39.313076161455
SlowProg 31-35 41.3923753306304
SlowProg 36-40 42.4403238443458
SlowProg 41-45 42.3299091391638
SlowProg 46-50 46.1184686313506
SlowProg 51-55 53.1552104742331
SlowProg 56-60 59.9130930331956
SlowProg 61-65 62.5782043544185
SlowProg 66-70 68.9711908114351
SlowProg 70+ 71.4390697978247
