amin	amax	emin	emax	tmin	tmax	value	low up
0 5 0 1 2015 2016 2750356.000000 2750356.000000 2750356.000000
5 10 0 1 2015 2016 2414031.000000 2414031.000000 2414031.000000
10 15 0 1 2015 2016 2141752.000000 2141752.000000 2141752.000000
15 20 0 1 2015 2016 1814049.000000 1814049.000000 1814049.000000
20 25 0 1 2015 2016 1499447.000000 1499447.000000 1499447.000000
25 30 0 1 2015 2016 1258466.000000 1258466.000000 1258466.000000
30 35 0 1 2015 2016 1051763.000000 1051763.000000 1051763.000000
35 40 0 1 2015 2016 860569.000000 860569.000000 860569.000000
40 45 0 1 2015 2016 654471.000000 654471.000000 654471.000000
45 50 0 1 2015 2016 465218.000000 465218.000000 465218.000000
50 55 0 1 2015 2016 340112.000000 340112.000000 340112.000000
55 60 0 1 2015 2016 252315.000000 252315.000000 252315.000000
60 65 0 1 2015 2016 195186.000000 195186.000000 195186.000000
65 70 0 1 2015 2016 154511.000000 154511.000000 154511.000000
70 120 0 1 2015 2016 248341.000000 248341.000000 248341.000000

