Model Imp Imp_low Imp_hi IRR IRR_low IRR_hi Country
1 0.385037 0.279948 0.493808 0.973268 0.71341 1.223319 India
2 0.221567 0.12605 0.437316 1.072971 0.596244 2.236351 India
3 0.214103 0.02344 0.42316 0.983888 0.103317 1.943848 India
4 0.406365 0.29981 0.571313 1.364049 0.952166 2.126691 India
5 0.693374 0.501916 0.893419 2.396449 1.689199 3.27429 India
6 0.565132 0.35264 0.869748 2.606518 1.627432 4.306713 India
7 0.517171 0.355462 0.727985 1.94587 1.337741 3.038847 India
All 0 0 0 1.99304162219193 1.43951653636441 3.07439501760237 India
1 0.587796 0.440304 0.753595 1.310349 1.010771 1.648607 Indonesia
2 0.742549 0.374812 1.236255 3.299748 1.658253 5.51461 Indonesia
3 0.299745 0.01906 0.577346 1.175332 0.079294 2.291701 Indonesia
4 0.860754 0.538169 1.263084 2.939011 1.741901 4.650496 Indonesia
5 0.99274 0.689669 1.330502 2.971716 2.155936 4.010386 Indonesia
6 1.148324 0.677893 1.776794 4.848184 2.930214 7.561176 Indonesia
7 0.95818 0.632746 1.414607 3.405622 2.21006 5.166586 Indonesia
All 0 0 0 3.55844307752888 2.43951427547455 5.30941132064521 Indonesia
1 3.172349 2.217987 4.132739 9.103257 6.709922 11.308961 Ethiopia
2 4.094424 2.822038 5.49994 12.285365 8.788765 15.65852 Ethiopia
3 3.020717 0.208491 5.63815 10.147528 0.660145 18.122313 Ethiopia
4 2.667784 1.766547 3.751532 8.121329 5.608097 10.72165 Ethiopia
5 4.633487 3.411191 5.9336 15.641898 12.062333 19.05564 Ethiopia
6 5.621374 4.292992 7.176789 18.771086 15.563576 22.468185 Ethiopia
7 3.169642 2.388306 4.215455 10.688525 8.456422 13.369059 Ethiopia
All 0 0 0 13.3460699728359 11.2273093624993 15.656619187273 Ethiopia
