ID imp_con imp_vac i_con i_vac
1 7809473.25901551 7737819.63969463 166930.16210854 161234.013436743
2 14176839.6469612 14012771.7183871 325998.348968012 312724.772677805
3 11380844.9006898 11337746.5466787 271817.341966194 268305.778531415
4 8933171.1656282 8848011.6786633 188349.02112478 181531.486953415
5 12068499.6094674 12013906.6947184 271381.41931299 266988.298352656
6 11388810.5796559 11357797.7621912 233342.396159035 230894.716010105
7 10049721.3041883 10048441.1684088 192993.321496248 192893.091499272
8 8568031.05899054 8536520.95877148 159713.3432341 157294.323844358
9 11686323.6252263 11608153.3382569 254435.330678543 248163.822147221
10 11040373.9186782 10936449.7048079 241992.608693598 233706.916420154
11 8391556.12143571 8271318.03131045 177229.6639992 167595.961367862
12 15141465.979469 14949453.6751593 337532.626351852 322610.219522392
13 9763274.01532007 9693553.72294867 191484.170217505 185963.486717963
14 12748926.9527677 12548363.9031621 261276.063729987 245524.200801998
15 12811748.0781844 12706229.8017131 276778.810611249 268440.06326085
16 11557064.8006973 11536872.0741083 239974.724185494 238381.109656275
17 10835106.8237785 10703861.0253339 231914.477785958 221441.155807933
18 15620854.6740319 15478988.5026247 347023.263907966 335678.320325629
19 5865197.36921287 5816089.22704917 137292.73387274 133308.445775533
20 10413714.0434775 10269120.0855269 224711.103653519 213169.505521047
21 10502032.5947358 10419249.4670514 226626.057496666 219967.290017818
22 12431506.36551 12291837.8543863 218689.426230906 208073.144550853
23 11622779.6643131 11449269.7189822 261253.065101947 247453.337740239
24 6439747.56793415 6363970.3793272 145604.623815696 139438.660237936
25 10375053.4360477 10234573.4988261 220782.273443249 209596.477164772
26 10201766.7570928 10096719.9103244 194641.158249894 186478.532746948
27 6867552.1005723 6819535.85117711 129032.726738019 125308.937094906
28 14937190.9003211 14753919.1223398 340025.725881273 325486.247545587
29 11230562.9802269 11082607.4399717 231919.40596183 220220.458767319
30 12290305.2711029 12113562.0040342 239224.956310958 225464.133766926
31 6495030.67835386 6481252.82549466 165786.148208373 164646.369809811
32 10821802.3425397 10760482.9890552 259188.94713537 254183.411095899
33 13180022.9535042 13051649.0594796 324183.648015263 313667.126401273
34 10459781.3008759 10433420.4245033 193414.055840163 191380.85512867
35 13709388.7340661 13539622.063231 291695.396346268 278295.966953615
36 8963635.28913263 8909411.0257787 188634.104968287 184336.06794207
37 11702028.6494311 11574756.4269284 269466.805868751 259184.991281214
38 9818819.4168448 9812961.41725542 203154.355039187 202690.792223568
39 8143022.78041395 8057729.39334672 136276.459319549 129769.80461502
40 9741710.33960352 9621658.0922855 179116.489968112 169905.249486265
41 8273863.60559284 8177870.62486036 167819.824167761 160255.546529046
42 8235849.15635568 8205041.37880937 182706.795549083 180206.206787914
43 14805851.0172152 14793853.3694496 324128.237862548 323187.09695891
44 10458620.3873492 10322104.3293665 220994.315397746 210114.325553953
45 9048589.25425837 8944267.23188926 163864.134669817 155880.872596805
46 11790431.8976733 11642157.758311 261147.939650938 249173.531874295
47 11885965.9879376 11836186.3392304 260219.671954738 256253.593696391
48 12841906.6453846 12707343.7297989 276481.064906819 265823.093256074
49 9521936.70121025 9426926.50641989 209623.000556737 201930.982017938
50 8009173.04630826 7902066.85194572 168801.329573394 160298.269102206
51 10933208.7067449 10830479.8924896 207383.955234862 199483.380613888
52 12220177.2711902 12088329.1091203 266664.27712865 256143.445353266
53 11672878.5259762 11624189.7447579 240872.917222754 237043.633298029
54 14341325.5706742 14157114.9658566 313223.552621691 298626.118884606
55 12259488.9903138 12208588.8596356 280205.669129891 276176.042861623
56 15179968.3047564 15068424.0761434 345481.188843443 336526.002885289
57 16095024.6168524 16000812.9073444 376447.123937756 368869.229479536
58 15140103.5734492 15043692.9061715 353047.64424176 345252.425360676
59 8730377.81301679 8656269.4846598 186957.054601297 181018.410264201
60 10571204.9160458 10478319.5538069 202413.056107956 195137.673350781
61 11407310.4908902 11275379.9535771 243746.163075807 233198.102786344
62 12051174.2850495 11883889.1747777 224241.121828688 211340.776245083
63 12173402.1351679 12155343.9247679 272199.797781464 270736.364006668
64 14375027.0950611 14359075.9471325 342891.966373705 341595.196124373
65 12067024.765459 11987153.0603563 253354.709419061 247008.862636183
66 9457629.63692592 9360423.48812409 202352.015008899 194628.44866569
67 9703236.05907918 9699071.86963495 199652.437638741 199323.416302373
68 7966240.36260358 7869860.4504419 182215.624600358 174376.258563561
