ID imp_con imp_vac i_con i_vac
1 7809473.25901551 7693973.02710673 166930.16210854 157699.056371167
2 14176839.6469612 13831915.038057 325998.348968012 297614.848297179
3 11380844.9006898 11169934.4593212 271817.341966194 254370.691903424
4 8933171.1656282 8816455.26795376 188349.02112478 178947.192001554
5 12068499.6094674 11833738.8959369 271381.41931299 252328.127300551
6 11388810.5796559 11185195.7040272 233342.396159035 217256.049134463
7 10049721.3041883 9895154.07783221 192993.321496248 180940.543218057
8 8568031.05899054 8400694.59526353 159713.3432341 146950.702105903
9 11686323.6252263 11468681.4032933 254435.330678543 236850.351543102
10 11040373.9186782 10804108.8828147 241992.608693598 223015.459592333
11 8391556.12143571 8209712.00974223 177229.6639992 162610.212443291
12 15141465.979469 14770972.2708423 337532.626351852 308617.976896535
13 9763274.01532007 9605340.29267783 191484.170217505 178957.428977289
14 12748926.9527677 12483730.067547 261276.063729987 240276.360875792
15 12811748.0781844 12549803.6135903 276778.810611249 255884.129538566
16 11557064.8006973 11317822.3192157 239974.724185494 221074.550680495
17 10835106.8237785 10673385.6631461 231914.477785958 218962.925553646
18 15620854.6740319 15266100.0147073 347023.263907966 318374.676496974
19 5865197.36921287 5794341.24686305 137292.73387274 131496.773390903
20 10413714.0434775 10210720.0898018 224711.103653519 208383.629016103
21 10502032.5947358 10345851.2809256 226626.057496666 213911.862485226
22 12431506.36551 12106143.7867479 218689.426230906 194211.695066575
23 11622779.6643131 11361299.6502076 261253.065101947 240410.79319371
24 6439747.56793415 6360976.42257557 145604.623815696 139153.148420362
25 10375053.4360477 10167406.0983172 220782.273443249 204078.990292515
26 10201766.7570928 10039753.7698231 194641.158249895 182055.157604386
27 6867552.1005723 6764393.34782144 129032.726738019 121049.118555287
28 14937190.9003211 14614331.513411 340025.725881273 314044.174016193
29 11230562.9802269 11040261.5920361 231919.40596183 216817.020898096
30 12290305.2711029 12040380.9847248 239224.956310958 219870.439097175
31 6495030.67835386 6388886.50070582 165786.148208373 156915.778416905
32 10821802.3425397 10624808.1133152 259188.94713537 242808.378856866
33 13180022.9535042 12958288.7001239 324183.648015263 305702.797114715
34 10459781.3008759 10273782.8800789 193414.055840163 179168.802442542
35 13709388.7340661 13349665.9343284 291695.396346267 263264.966803996
36 8963635.28913263 8831046.74499301 188634.104968286 178076.376316153
37 11702028.6494311 11438154.6304924 269466.805868751 247877.514138338
38 9818819.4168448 9645454.60961105 203154.355039187 189401.039584853
39 8143022.78041395 8035562.24712532 136276.459319549 128140.146946155
40 9741710.33960352 9555292.14707365 179116.489968112 164890.509796067
41 8273863.60559284 8155065.38445939 167819.824167761 158450.454968959
42 8235849.15635568 8118955.60605036 182706.795549083 173138.881847243
43 14805851.0172152 14334231.5567988 324128.237862548 286871.566053834
44 10458620.3873492 10257626.0576097 220994.315397746 204815.64485148
45 9048589.25425837 8904568.90800379 163864.134669817 152905.045241128
46 11790431.8976733 11529577.8539812 261147.939650938 239894.787923191
47 11885965.9879376 11671994.2351264 260219.671954738 243018.918363932
48 12841906.6453846 12612839.3667737 276481.064906819 258024.618435942
49 9521936.70121025 9351752.22113614 209623.000556737 195705.390673307
50 8009173.04630826 7886338.43603026 168801.329573394 159043.179226225
51 10933208.7067449 10639623.2689594 207383.955234862 184934.83374905
52 12220177.2711902 12039075.1718385 266664.27712865 252044.597830971
53 11672878.5259762 11463641.806406 240872.917222754 224426.384238444
54 14341325.5706742 13985701.7068523 313223.552621691 284773.536535941
55 12259488.9903138 11961051.7415218 280205.669129891 256329.189986941
56 15179968.3047564 14830072.9223094 345481.188843443 317101.095827246
57 16095024.6168524 15682737.7231612 376447.123937756 342289.348269043
58 15140103.5734492 14770258.1631416 353047.64424176 322506.412611097
59 8730377.81301679 8627053.81669732 186957.054601297 178640.648378425
60 10571204.9160458 10374888.6566499 202413.056107956 187131.917801954
61 11407310.4908902 11211744.6286828 243746.163075807 227987.571336719
62 12051174.2850495 11817567.8404521 224241.121828688 206280.809236195
63 12173402.1351679 11939484.7795532 272199.797781464 253039.087151675
64 14375027.0950611 14080074.2534253 342891.966373705 318388.8345408
65 12067024.765459 11788267.765645 253354.709419061 231191.577954815
66 9457629.63692592 9311614.76624313 202352.015008899 190663.946578312
67 9703236.05907918 9517001.98086854 199652.437638741 184952.835714688
68 7966240.36260358 7828815.14755892 182215.624600358 170920.198744604
69 11624232.5363641 11415398.3296862 276160.783981188 258889.254110913
70 6603221.81205077 6494418.35811075 131701.595247635 123136.958320043
71 15114493.7902736 14749858.8723471 239371.250502031 212791.191099629
72 10794339.0952307 10613625.5846594 210695.734521106 196351.104711105
73 11953950.8365869 11713899.0155159 211155.772131767 192939.658857419
74 13433764.403297 13201707.1853239 282795.497414786 264080.531942984
75 11349371.0630872 11090030.7257668 198824.627451881 179458.442360669
76 8494313.90785591 8372165.18007158 152980.195931944 143663.466552007
77 14261227.935334 14030279.3496289 356240.384936543 336888.849795941
78 9936179.36058089 9774910.34075646 216803.574694391 203601.205907044
79 6987890.12766862 6874909.69672699 145102.690156361 136110.10876426
80 13928239.852008 13660683.8803839 297600.465836593 276325.175645398
81 11127182.1079314 10912777.5822307 251894.646992751 234429.873494203
82 13276699.2204706 13052062.4108359 287232.061238564 269048.089465852
83 11024827.955596 10832026.3424592 260771.011211313 244880.419518942
