ID imp_con imp_vac i_con i_vac
1 165411064.340698 163612621.963151 3015430.13794249 2888712.11165752
2 146434787.143715 145652235.549423 2962241.17018259 2900633.03094148
3 194282159.99238 193024588.269036 3205533.20453752 3117126.78776881
4 147867126.575811 147022618.464504 2878243.98125364 2815683.50145109
5 121613854.933536 120542384.09998 2631774.53375382 2543294.89644185
6 161671868.009161 160193008.577144 3114894.41497145 3008082.36659415
7 159811324.694367 158750640.541981 3039277.32343491 2960594.16953871
8 143338204.47474 142333012.9886 2826276.19190219 2751024.79569554
9 111816185.321859 111096440.837416 2098712.53428063 2046522.85685175
10 161768870.976476 160301687.340139 2997830.2670457 2888193.3052782
11 154663335.755508 153613844.224511 3065330.14877786 2986241.46561906
12 160976916.157156 159480774.727879 3118348.35685571 3004731.94859124
13 120462673.030641 119985376.283723 2103325.62397368 2068241.04969794
14 182810666.505696 181385957.97453 3348371.49782722 3244338.80236506
15 148386622.248649 147209869.520694 2972306.69170618 2881368.21750373
16 209782220.911343 207244808.521414 3614536.38359943 3437725.92074297
17 105601384.233603 105038511.228229 2215995.41043003 2172634.20817689
18 158941543.661837 157812621.908801 2911557.27302026 2825754.87260878
19 160105645.266338 158903304.952503 3045711.99824077 2955468.31348205
20 27042061.2820307 27042061.2820307 316626.091411296 316626.091411296
21 37079190.64622 37079190.64622 433905.335344253 433905.335344252
22 114624908.311902 113976144.337366 2358073.32076542 2308138.77616951
23 160686554.460277 159328524.58963 3069989.65028801 2972327.53648403
24 152937823.249874 152021316.314006 2958934.64842794 2887434.66469321
25 149508150.204372 148437743.87761 2994857.32307957 2914002.83403941
26 136067213.812624 135024262.740652 2753513.07908957 2674144.90650439
27 175981438.889986 173926873.071936 3353609.95670901 3201279.14152382
28 79567682.5602941 79406369.8833442 1157114.71112905 1146740.35885716
29 154935827.366831 153232019.483748 3082717.18226091 2955264.88857159
30 124001355.436702 123423621.636146 2059234.27093071 2016109.12160953
31 144777905.243298 143486189.272334 3444522.17532327 3338100.76029971
32 107484839.449095 107174386.255728 1904766.07511619 1882945.20225082
33 159867800.223445 158846227.01845 2636279.77311979 2560256.34237592
34 127551489.653936 126585509.096323 2801324.15981197 2722513.38323462
35 133523209.413761 132832327.702436 2839545.34065052 2783722.05898382
36 156930511.084156 155504302.453365 2927537.85786593 2819489.93072314
37 118946114.197233 118333310.145411 2513791.85338164 2465805.31274265
38 167929211.197813 166392719.122605 3175125.85376225 3061299.12014007
39 182784684.969305 181122468.765829 3278437.91385913 3161667.82207958
40 167184574.43015 165750089.983262 3203250.36546562 3100528.43378496
41 170640411.174454 167813530.860547 3275957.3994308 3064886.99226347
42 135082826.749007 134044990.208665 3002593.5459717 2918262.25009604
43 125744790.981912 124984914.752552 2890077.11173425 2827092.98347801
44 156374685.045115 154984146.45198 3045161.48717578 2938426.66021369
45 163970453.376677 162619242.793415 3062959.91165094 2965260.3417649
46 38868470.4440504 38868470.4440504 442936.911289247 442936.911289246
47 98353754.431004 97797914.6877062 2259329.30420911 2214980.56346322
48 106987558.209667 106537104.827974 2111470.16725195 2077001.95073391
49 156436314.719165 155043149.144092 3165608.75223836 3063308.91686384
50 205444988.931976 202102152.448318 3631203.22187333 3385213.44099066
51 133753867.248803 132663374.647405 3171389.43936593 3079553.21732722
52 121065668.430387 120275014.284983 2774398.15084652 2709996.77306751
53 161191283.063925 159769031.710677 3161686.73356624 3051752.90137859
54 121101799.098473 120676992.670568 1804691.54704996 1775603.59446809
55 144945024.233574 143949694.142988 2707664.40978682 2630968.03741736
56 170122940.673118 168855729.836858 3143363.72536501 3053456.93175747
57 112738053.37186 112252867.845276 2391827.00665183 2353492.71848348
58 166581094.023911 165444942.8894 2961334.51817522 2882301.15785874
59 124451366.386609 123385099.283287 2420009.55235464 2343497.95715771
60 161671240.074831 160200031.558517 3077913.02600609 2966745.00324236
61 148040254.056017 147014563.763926 2843639.68774936 2764553.39979721
62 166134150.634401 164811897.241948 3058438.48298675 2962231.37162904
63 138835918.619414 137942905.734992 2963035.6621296 2892621.48158393
64 160527173.41311 158956783.70114 3113690.94399162 3000536.01713174
65 156054434.929104 154741549.4892 3117445.08361647 3018710.20427638
66 38268414.180582 38268414.1805819 368514.103401121 368514.103401121
67 161910044.02081 160114293.537413 3201368.11722511 3067239.44258448
68 171317536.26551 169995141.075381 3178799.87572522 3078843.62161546
69 139872153.146691 138808852.161542 2876479.41106459 2793688.22829256
70 148044066.990333 147043194.160801 2609157.89987809 2533701.45894386
71 184936025.320382 183272315.194856 3290872.20044293 3174294.53423469
72 129832417.803766 129002690.631077 2459508.65177974 2399423.84820981
73 224800065.544332 222688419.504649 3707747.94566426 3568585.9911627
74 63265623.7589437 63120840.1252697 1308019.80845568 1296766.9586324
75 152710409.203941 151596151.569819 2927418.37587723 2844186.32839134
76 176939722.527075 175114320.060234 3286075.59617864 3151846.1031273
77 138049212.559723 137320497.041036 2443698.53665851 2390769.12127716
78 112612081.236206 112061750.724524 2448153.41285861 2404382.76274991
79 204180031.425959 201918790.752408 3363447.48884835 3206508.81512671
80 145335646.348709 144080741.763114 2853613.46348117 2759013.60893319
81 154641430.316371 153410494.507868 2809716.79397639 2715952.08475481
82 209007908.789558 206613307.007586 3570952.10300534 3406712.84761775
83 131596607.022655 130717646.258033 2545511.47101284 2478156.75149511
84 152301518.147978 150973823.940879 3036256.42261042 2932782.09173192
85 127783779.959897 126987417.07235 3000482.29551204 2933312.57464846
86 137799386.757417 137070246.719927 2624216.19472178 2568857.03089791
87 172908773.769771 171420788.414927 2983629.66740067 2876082.47287455
88 236779898.110403 233908055.493573 3883731.98190687 3695190.48354109
89 131484689.031794 130753523.833847 2538577.34236311 2483094.48473977
90 128728576.300276 127367871.449029 2852508.81781018 2743885.68789799
91 190617940.109259 189123089.187218 3223024.00855427 3118221.10901715
92 182961136.771399 181376870.705152 3255427.7164279 3146093.01946928
93 104415814.201349 103775966.489684 2039735.49364144 1992876.55949364
94 130798127.68356 129733742.754301 2621786.35563583 2539199.39076891
95 153056303.270557 151817926.956015 2991521.77224821 2897548.67298101
96 120811987.673243 119941107.307727 2363431.32789451 2300769.00724735
97 164558798.227723 163342244.807779 3081259.0481544 2989636.31482332
98 150769194.250517 149083706.042101 2985638.07552886 2855944.66712063
99 169496246.685669 167962374.904654 3097546.74465973 2990451.63241987
100 226231751.008099 223400335.723433 3591365.06043456 3402513.07622016
101 180094853.375708 178657485.685408 3250305.17432741 3147829.25548072
102 148421730.322795 147372843.870784 3057467.95606272 2975550.27442117
103 198343246.727581 196689534.797559 3407558.48692705 3287266.57201169
104 145368050.608636 144527337.593153 2597830.1740519 2534474.78474591
105 132202919.185963 131459576.460065 2474536.42643931 2421383.01033963
106 204061145.5243 201589799.05886 3490003.15981184 3328039.62913369
107 150522945.081842 149685683.603348 2938062.64519449 2875003.77064097
108 165464952.630524 164218591.521605 3168700.75903192 3075928.50796799
109 177006231.675116 174818973.848841 3273921.07304162 3122843.40254369
110 152703789.531368 151205853.264612 3031035.04717738 2921802.31973561
111 110888715.365236 110422717.328027 2003357.73756199 1970017.92804154
112 181173454.381767 179867752.943489 3232657.67982589 3138513.82957146
113 160455374.188231 159681562.985544 3144135.06622737 3086416.94145986
114 137406658.319427 136628170.379206 2540317.91393353 2482515.55328421
115 169642297.413943 167553472.238084 3209586.88059197 3054001.74630138
116 158483970.430743 157617218.475528 2826756.33115746 2763802.74991823
117 125192830.878365 124671898.875871 2642468.49702015 2601326.26600436
118 142214352.74724 141033845.140583 2907806.3488124 2819189.67102944
119 135774779.493314 134532799.018466 2798065.40377252 2702215.15345028
120 137767332.655815 136673980.305741 2647033.90654467 2564099.23254053
121 157453123.288267 156239196.178575 2942835.0771466 2856311.52114
122 166019353.011828 164144317.060706 3104376.26294459 2967029.07697323
123 115492520.455739 114538500.41884 2530035.54643979 2457207.76766877
124 145905823.789004 144924301.942142 3017281.02775664 2940473.94262933
125 124578169.655484 123900599.361378 1983631.33277074 1938728.0556731
126 163935750.934817 162708332.050271 3009470.53471882 2918652.1164593
127 126806509.962964 125878158.435767 2297887.89725061 2228024.95164009
128 128176735.462282 127615026.141118 2316723.55151187 2274794.57036822
129 203289643.912115 201604129.336004 3365497.78945733 3254658.91370241
130 143434786.742303 141996759.136501 2827843.60995345 2721225.9872854
131 150348257.669741 148956945.229714 3127626.36169752 3021147.63898718
132 162784257.389731 160735279.826307 3367516.66833091 3215056.706287
133 150485696.484086 149654570.528068 2830022.27567858 2767911.79011007
134 158040274.96951 156905739.323977 3012801.12306998 2928665.60012451
135 166133133.34903 165011975.366333 3170128.02756048 3085154.9500883
136 148136208.778746 146936812.447679 3026936.82746493 2936012.62623351
137 140603945.881387 139849218.764802 2578757.31830319 2521956.55797864
138 145978498.891849 144170120.96922 3198891.87700727 3063454.45773764
139 158133838.798325 156713767.974443 3090997.83555657 2985730.87678305
140 168058338.234902 166688446.888717 3198475.82036187 3099350.77573478
141 114496046.421748 113885240.27814 2121107.49476681 2077036.96181219
142 88996352.6550992 88656955.2149253 1676377.89502949 1651150.71060396
143 152597457.741908 151153133.68046 2902495.86177897 2792738.56963545
144 138694380.794173 137694894.648921 2852268.51009951 2775413.15974917
145 159921931.750053 158867494.594626 3214125.41004609 3136282.61785397
146 76462861.7885536 76185217.7164006 1698719.08320961 1676633.33715363
147 161778601.393478 160410268.222326 3042072.10169932 2941750.00250037
148 109294174.764797 108814839.094167 2285480.50045455 2247377.84177111
149 172303490.297454 170756533.273913 3162933.91175311 3050773.74687689
150 137153237.765263 135958323.902301 2939731.3923417 2845838.58782094
151 148252079.317277 147012342.834706 2997904.33882096 2901838.15444142
152 189332323.028441 187894497.388909 3204829.8246404 3100176.43134755
153 125355102.663912 124696934.507757 3177994.16002896 3121151.23493541
154 155174750.238556 153863291.372815 3091108.64885679 2990787.2428002
155 186838985.000023 185000810.764273 3218534.12949151 3090511.79623594
156 181642111.386697 180216113.486812 3314435.82228254 3210637.80259671
157 206343906.962191 204902865.875206 3370452.31023328 3271433.70630765
158 117039514.489709 116455619.415581 2387122.32460496 2343541.89521218
159 160572257.148162 158863045.605827 3242490.28569485 3111595.72921109
160 142481995.37671 141476453.582554 2577784.19403898 2501475.75928502
161 111949314.324201 111222016.850871 2626297.7731539 2567148.01555997
162 137146593.473387 136179362.492978 2988336.24098097 2911227.14784945
163 161872203.020285 160422772.440221 3258503.3370497 3152428.85954321
164 182826249.282214 180694726.613406 3321320.4062873 3162759.25886623
165 130557004.485139 130214312.577014 2196192.40185798 2171822.20622718
166 80504075.369676 80256200.9466948 1555857.63675808 1537808.09705172
167 146906357.27932 145793619.525834 2920866.06878077 2832827.1115188
168 95550764.7858083 95164835.2495469 1743943.40230623 1715328.88602519
169 199173977.704764 197354932.987147 3446102.436856 3321062.09422335
170 175346559.168778 173724936.385312 3185906.69600639 3074787.91218948
171 154370041.077175 153103699.303431 3134104.91730511 3037411.08331616
172 124924596.85074 124457918.346745 2364873.28453828 2330151.66095762
173 136869633.30182 136071834.664279 2764162.4290351 2703985.77903306
174 147100159.768905 146299544.044732 2664870.59310125 2605001.7976321
175 198993393.2968 197170846.901171 3433424.7651457 3312681.16376025
176 153874309.040483 152299064.034277 3245366.41064223 3122939.5447657
177 165857063.703755 164048549.015876 3073475.11947008 2942337.12465281
178 160184443.207815 158983288.500411 3043779.65305237 2952601.41471173
179 109731320.189212 109207670.921173 2491915.64583088 2449963.72823463
180 139630697.837285 139052692.561624 2523239.29403943 2480736.81104091
181 94277924.8926401 93803537.0623003 1702290.87192288 1670148.50657011
182 159979434.409397 158526806.062432 3089503.85319118 2979274.32362282
183 163961279.837053 163056017.876161 2994776.93596817 2926704.68625052
184 108657246.38204 108081534.858719 2136988.04480798 2093458.80935639
185 125101330.604361 124218603.650616 2497372.30302077 2429588.96933781
186 153595116.299663 151951735.955689 3117696.51477447 2988934.07408884
187 29966862.8684473 29966862.8684473 341932.88244258 341932.88244258
188 133280342.446145 132143894.524218 2969688.40429271 2881154.70996956
189 200107678.141155 197891507.880258 3677164.59410304 3518140.47762766
190 141910579.432594 141052335.009115 2891393.18219456 2825817.48730354
191 126452639.183318 125544061.497905 2694365.62399566 2626068.10466403
192 83162457.0670576 82959371.7242886 1473858.03106081 1459427.37790225
