ID imp_con imp_vac i_con i_vac
1 165411064.340698 163240134.113957 3015430.13794249 2894325.5264555
2 146434787.143715 144896194.396106 2962241.17018259 2874850.92169038
3 194282159.99238 192525440.547031 3205533.20453752 3110983.3816475
4 147867126.575811 146342193.909681 2878243.98125364 2793306.79562131
5 121613854.933536 119838813.763636 2631774.53375382 2522323.15747369
6 161671868.009161 159478899.704073 3114894.41497145 2992671.36103062
7 159811324.694367 157596587.270912 3039277.32343491 2916364.82702828
8 143338204.47474 141756541.088036 2826276.19190219 2733426.6099505
9 111816185.321859 110402722.266075 2098712.53428063 2022704.11527085
10 161768870.976476 159429898.605008 2997830.2670457 2865357.70117452
11 154663335.755508 152513026.105499 3065330.14877786 2944806.39486726
12 160976916.157156 158891491.493296 3118348.35685571 3001615.73217552
13 120462673.030641 119262848.339113 2103325.62397368 2039572.82926109
14 182810666.505696 180811318.892559 3348371.49782722 3234944.11668959
15 148386622.248649 146519428.404309 2972306.69170618 2861863.91624257
16 209782220.911343 207039057.081502 3614536.38359943 3456227.68149796
17 105601384.233603 104569141.074696 2215995.41043003 2158949.79146182
18 158941543.661837 157489021.258351 2911557.27302026 2825201.34977869
19 160105645.266338 158319619.200056 3045711.99824077 2943389.5764343
20 27042061.2820307 27042015.3170672 316626.091411296 316625.250237439
21 37079190.64622 37079049.7872036 433905.335344253 433902.771831652
22 114624908.311902 113486528.634553 2358073.32076542 2293271.21245159
23 160686554.460277 158700559.103962 3069989.65028801 2961541.1919808
24 152937823.249874 151384820.253993 2958934.64842794 2869093.14564565
25 149508150.204372 147319986.270199 2994857.32307957 2870997.53062876
26 136067213.812624 134372760.106422 2753513.07908957 2656649.49023329
27 175981438.889986 173402137.806405 3353609.95670901 3200353.75316984
28 79567682.5602941 79078126.5302314 1157114.71112905 1136058.71526376
29 154935827.366831 152618494.259613 3082717.18226091 2950321.03026312
30 124001355.436702 122885693.558659 2059234.27093071 1998388.85293742
31 144777905.243298 142753637.903716 3444522.17532327 3322152.09521569
32 107484839.449095 106243614.391651 1904766.07511619 1843052.80682745
33 159867800.223445 158475887.73711 2636279.77311979 2556448.42917861
34 127551489.653936 125718009.435323 2801324.15981197 2688260.09403685
35 133523209.413761 132068862.649596 2839545.34065051 2755509.52703109
36 156930511.084156 154737397.878252 2927537.85786593 2798501.04603033
37 118946114.197233 117126050.861597 2513791.85338164 2414561.34983407
38 167929211.197813 165538417.032464 3175125.85376225 3038492.75453799
39 182784684.969305 180451372.594069 3278437.91385913 3149344.49334278
40 167184574.43015 165153726.062589 3203250.36546562 3090358.88772743
41 170640411.174454 167310568.4965 3275957.3994308 3074901.58485307
42 135082826.749007 133157898.796629 3002593.5459717 2887780.74626004
43 125744790.981912 123884088.48302 2890077.11173425 2781295.79187367
44 156374685.045115 154034284.570919 3045161.48717578 2906610.44360278
45 163970453.376677 162059900.140648 3062959.91165094 2954219.46977273
46 38868470.4440504 38868300.2554464 442936.911289247 442933.741559282
47 98353754.431004 96613820.2515076 2259329.30420911 2162198.28009718
48 106987558.209667 106158835.425202 2111470.16725195 2065826.83353785
49 156436314.719165 154376066.319852 3165608.75223836 3048990.24676159
50 205444988.931976 202280884.043051 3631203.22187333 3435143.03735665
51 133753867.248803 131627176.521605 3171389.43936593 3041700.79981245
52 121065668.430387 119459380.543411 2774398.15084652 2683859.66023713
53 161191283.063925 158903367.506502 3161686.73356624 3024904.85609979
54 121101799.098473 120327078.292048 1804691.54704996 1766665.40637629
55 144945024.233574 142961982.916557 2707664.40978682 2593895.18299941
56 170122940.673118 167820285.187951 3143363.72536501 3018715.21568912
57 112738053.37186 111424693.533313 2391827.00665183 2317692.60533813
58 166581094.023911 164823687.664532 2961334.51817522 2865103.39206316
59 124451366.386609 122611593.766911 2420009.55235464 2322109.35974419
60 161671240.074831 159527325.342995 3077913.02600609 2949977.77364943
61 148040254.056017 146394201.858868 2843639.68774936 2746721.56850468
62 166134150.634401 164292874.020623 3058438.48298675 2954779.24687722
63 138835918.619414 136844768.071688 2963035.6621296 2847419.99622469
64 160527173.41311 158066358.994909 3113690.94399162 2972081.26284258
65 156054434.929104 154277068.503947 3117445.08361648 3016938.11346459
66 38268414.180582 38268341.4590892 368514.103401121 368512.967712662
67 161910044.02081 158880893.5581 3201368.11722511 3024848.26182817
68 171317536.26551 169661378.593457 3178799.87572522 3079429.09745773
69 139872153.146691 138150230.460611 2876479.41106459 2779101.41524236
70 148044066.990333 146594528.843157 2609157.89987809 2527694.69986956
71 184936025.320382 182377963.436366 3290872.20044293 3154267.57817295
72 129832417.803766 127986686.684345 2459508.65177974 2360393.91975785
73 224800065.544332 222114052.457422 3707747.94566426 3569874.05433809
