ID imp_con imp_vac i_con i_vac
1 41540053.1622229 40868332.3932453 789578.344517386 742685.270756584
2 41287589.7500932 40931800.0009535 729324.626022774 703858.553564382
3 41804575.2176022 41073673.1613544 806435.161683481 756219.887338916
4 41876488.1255987 41299055.5552316 789537.450359495 748635.907669827
5 38526604.2944535 38202280.1940877 683884.24918977 661684.546087716
6 43271941.2878185 42494093.1432373 837909.176715042 783263.463977803
7 42316737.6692971 41634377.6832769 820867.987322201 771886.911053491
8 34422605.3980626 34036900.80237 588975.841330755 563334.811635577
9 40308696.9561453 39956478.0978687 718663.55816278 694169.862652076
10 46528269.1784762 45735743.8033559 934108.364848385 875564.445474506
11 44072808.2232199 43486881.5621255 860311.002823309 817199.18125913
12 45322105.4188496 44862249.9977501 898253.882483825 865464.009544718
13 44252841.6642362 43572504.4067468 871176.20090767 823161.724689337
14 39832633.5403122 39403019.5876128 754335.165832548 725625.297508062
15 45282069.1589159 44532486.2560988 922838.869132866 867966.496983125
16 44406171.2877519 43682994.1969466 909698.927536065 858108.95302388
17 40934864.9799924 40395086.717049 781771.943296042 744091.169535723
18 39114916.5380576 38489722.8154582 764445.650918943 721004.259213115
19 46102263.0729804 45089992.3394121 945084.098052146 873303.244147118
20 38997489.4869396 38697335.6299995 689935.519145555 669011.361594128
21 43133571.0312844 42635659.4883376 823014.186757435 787052.040332814
22 39409958.1429643 39100154.8035599 706301.437764433 684670.523074016
23 38282001.2352576 37624184.7133377 715506.87595336 671309.17877782
24 41777803.0146495 40804834.7592812 819342.199045158 751709.794653435
25 38024460.1766749 37585064.7532728 657351.976221359 627104.650199014
26 42352413.7879825 41677713.6364281 806991.126056926 759190.968843975
27 43083826.367573 42222941.9678662 865147.695626533 804464.54736232
28 45373134.1479064 44843788.3917102 911421.470840465 873778.138005472
29 42506126.9796559 41704932.798588 811236.242901702 753973.901000831
30 42153888.1216023 41835639.9692747 784281.546844393 762177.268648366
31 44410295.312786 43572431.4039372 897032.559780437 836444.464396148
32 42969940.3625413 42368981.4507995 835953.591985993 793731.656707819
33 39745952.5484309 39304295.0974236 749588.233083697 720160.952193205
34 41924386.6480886 41306073.6627721 767821.92549658 723545.016265167
35 44883242.2743867 44336613.0331559 856677.700679073 818272.826108746
36 40715707.0586927 40174927.6134136 781312.450310294 743138.244753954
37 42243081.8551826 41660812.5450875 815939.078166437 775036.604268979
38 41789636.8991317 40999875.2030294 815468.929285327 759915.645228211
39 46661895.3217076 45681693.1923721 928740.013836177 859162.492849492
40 44209225.6019436 43529081.650785 897297.355149819 849278.280417226
41 43727299.1900215 42961872.6762766 887765.549191992 832822.246453742
42 37296437.3596305 36862969.4966557 659217.767979142 630637.532162591
43 39884478.7737834 39346796.8677083 760031.402598207 723529.624332198
44 38273405.5584754 37725830.8429798 684295.030669771 646407.600793254
45 41430640.4023346 41117812.7131704 727755.579227912 706371.478062366
46 45717488.4015106 44837959.7856621 897485.233327753 833608.299836298
47 45413400.4688662 44738822.0976088 884950.8420713 836641.715863572
48 39780806.0504628 39308827.0557158 742906.236133483 710748.134111322
49 41086058.0388232 40639973.6020434 736076.991102468 705326.927322343
50 41589098.5904577 41037247.4993452 795511.0773115 757681.706518918
51 44260246.7939322 43556401.6297756 876098.471028649 825009.089440083
52 43079192.7753949 42338793.1087038 818699.573952763 766501.393603766
53 41870876.6697398 41272291.0681529 799951.510961651 758198.902692838
54 41016008.4782846 40409533.3451702 760187.164272952 716993.894193832
55 42192516.2429662 41418108.2431212 817149.8974757 760745.032278824
56 44946432.2396721 44250903.27901 812673.384233556 765647.886694742
57 35483116.4693477 35144615.2230357 575663.767845528 552668.540268639
58 42953879.8705708 42154894.8370732 839739.869265233 781103.449523535
59 40588161.3486135 39945850.2654328 748338.967346991 702718.229884986
60 45576798.4591487 44763685.7910315 914787.186619819 856058.250615516
61 38572687.9517994 38343408.9801218 673061.832947032 657623.877322854
62 41902194.510258 41033326.1760584 858027.753662237 796699.366779668
63 40457542.879138 39837591.0364446 793324.704340144 750649.624529943
64 45230729.5656293 44376338.9191744 888871.103027957 828252.703524272
65 42309382.5493337 41915141.2157913 780175.03462388 752258.281787854
66 44901306.3412559 44361980.0892174 871815.487138354 832992.936376355
67 42708484.0683084 42238342.8810356 798656.815443086 765757.339718627
68 40532717.7196186 40016278.6913685 774701.867070944 739418.498302671
69 47563619.1363021 46728620.8757262 1012770.34533647 951547.496460463
70 43750324.3237 43171240.4607395 841401.442445161 800106.633576884
71 37810956.8900929 37391982.6436647 676164.347925036 646995.168056085
72 42433329.9509944 41891993.0395587 812964.505581097 775093.590235958
73 45674204.849474 45070739.6356445 899776.093505898 855527.511157643
74 44324006.111546 43525520.5227478 914619.484291263 856451.204725633
75 33239521.1989135 32996793.463218 536215.711465164 520597.156247644
76 41576993.9455525 40774270.7908996 780787.52142 723236.130314771
77 43867183.1844866 43239091.6008791 850861.092674652 805870.546591756
78 45200063.2851914 44605120.8805919 878188.722382001 836824.845299855
79 40798658.4664284 40038130.0076589 775657.573782497 723983.411784714
80 36956348.358799 36585413.7489755 662991.81424213 638686.13607187
81 38098795.7043919 37798942.1148907 671986.070194475 651039.476418953
82 36611242.8992226 36211777.3781912 638924.003652805 611200.270575567
83 44402287.7417651 43623750.0986529 890779.406151029 834135.324230266
84 38516140.2024893 38179535.356773 646347.602601535 623015.967506912
85 42424760.1050237 41799911.288351 767033.092002676 722889.162526428
86 40176286.2643132 39739215.0056623 698474.118137581 667637.295136083
87 39616655.8361999 39002581.7541639 774559.908381118 732288.195130766
88 42678287.0895118 42121607.622388 820117.653325376 780109.215953394
89 40645638.0679581 40076466.3974033 726172.576057481 686427.433334891
90 43687465.133946 42861342.1577698 879601.793425782 822333.330237187
91 41098421.0279188 40583341.5746327 809213.996232486 773687.06437441
92 40380530.5174054 39854525.2089737 773009.238222022 737549.844021762
93 37652540.7150853 37343906.4830242 648910.411783545 627795.998239064
94 40837552.2977298 40206864.1699449 793051.013722194 749114.584209455
95 41088490.3997904 40371847.9712536 789748.739102851 739457.076863164
96 37205369.12926 36701981.3177301 680232.358675448 645926.276813777
97 43858759.5499651 43292078.5674442 855995.91151102 815552.416527609
98 44509987.5375544 43292329.6064129 975824.043282748 888260.692620468
99 40921942.1879363 40473528.322014 769031.610039783 738210.73146947
100 41153016.3956631 40676995.9467396 763359.991836352 729715.524029592
101 37447425.9313719 37139353.1359736 683483.009007315 663021.194304346
102 46074263.7577868 45524795.1533239 925529.450050647 886006.644002905
103 38686898.0548828 38063647.7626059 698971.625323797 655964.375829572
104 42052589.1050221 41502866.3865259 791297.121814118 752775.482838875
105 44437889.5057368 43880519.1238616 868877.506228879 828112.261765661
106 42133915.9870594 41112882.9004619 824961.53885971 755645.664310344
107 41544734.0547496 41038359.1678137 777951.666963529 741517.471716226
108 37018429.3770435 36562507.7907552 655398.156030205 625274.105985919
109 40807070.1614535 40373596.5213521 783057.908298589 753259.14369035
110 38371538.3194333 37971137.8304799 700491.02436788 673287.223430428
111 42025502.5284398 41241064.9294778 812221.322786644 756059.708480777
112 41216397.7868555 40547123.5450873 802853.448633911 756079.498607402
113 44266354.6347717 43457207.2577292 863570.353255481 804488.082468237
114 46924836.7474615 46067996.6152323 934181.301101315 871796.422114119
115 46241775.1772353 45527245.4107703 945421.067920751 893898.420650139
116 43534197.6892735 42918011.5230521 846365.226047573 801402.619371613
117 42325291.0835022 41760148.8501738 832292.912936859 792896.8775079
118 38026646.1501627 37674545.8944063 694982.864163816 671443.855005534
119 36543875.1092096 36103953.1380756 644933.242754169 615152.18315837
120 38004611.4583484 37610789.7802937 680013.795098687 652973.113328439
121 37207149.3841252 36979925.3278462 638323.286054759 623370.631116048
122 43569875.8378762 42957315.4331965 865493.345019265 822186.750318259
123 41402700.3397969 40957702.2665736 767772.635706196 737042.926448257
124 32530789.7535908 32377208.1693537 481030.45845891 471311.313323261
125 40076691.78584 39640995.1948168 741488.002652956 710555.025324559
126 41028937.9281371 40382965.5894143 820237.043752267 776224.736813045
127 37871741.9511795 37377818.1083109 695375.602663594 660952.431525506
128 41554969.5456187 40752603.5722277 823493.980178263 767109.510860759
129 43251573.3526299 42726780.3474957 849610.49466162 812657.624847865
130 36612696.9958759 36208265.7479325 679194.187039501 652175.84949388
131 39998221.0713784 39618985.1133479 773875.559689563 748443.396446224
132 41374279.274179 40880928.7889291 772830.786835895 737958.698610925
133 46217132.7259589 45397978.3900895 949197.659436889 890097.056385281
134 41674628.121158 41232083.7351176 721687.179290155 690610.803658016
135 44843061.976181 44109499.7536939 874722.989101883 823409.069103333
136 41079826.1465716 40481301.652834 773569.872039026 731678.402413513
137 41013706.7084466 40466601.5110861 781641.855643509 743429.515253558
138 37521628.3806359 37052129.6965359 653324.709086994 621638.827371091
139 43370724.460781 42852271.6362079 854610.512517439 818174.403962661
140 39584399.3511428 39178819.2210402 669709.433749378 641740.581103931
141 45201374.193122 44597582.006405 877423.252016347 833423.834160523
142 45939788.7364864 45031712.8992774 915950.277496855 849869.129899662
143 43243667.6964244 42835564.2778499 853695.341870611 824449.377189622
144 41152849.9986258 40704773.1983192 726376.988581717 693744.986171098
145 44095392.8542373 43319070.5529974 878660.662635114 824024.136218657
146 39651125.0985073 38975880.8929994 728748.075543832 681914.635407244
147 43034340.0789133 42612551.3418702 814520.408369833 784396.019911179
148 37142888.5037648 36785494.0878218 642411.60439287 618039.644409025
149 44655001.2405436 43611909.3578925 944349.908529784 870500.764870756
150 39081141.6324517 38722827.8816136 706021.388358314 680618.180730875
151 45428219.2503354 44586654.9260705 919354.419458616 858637.468151566
152 40831678.2082712 40227332.375051 768910.303424838 726958.661390257
153 46470366.2204034 45428291.329832 977906.492397539 902866.000330241
154 40974457.9982604 40555417.3593621 773976.022187063 745781.113807615
155 43576198.4875294 42762667.8697812 884610.087582276 826600.045833381
156 43212965.5697827 42461507.0968824 847557.80342883 795522.754530476
157 40900333.3592574 40339586.9691634 760860.650791343 721480.927956442
158 39532793.5477191 38898751.1588788 759948.782852437 715804.713456613
159 38495690.7033674 38189441.7623442 689563.164253491 668587.064281146
160 42705655.8078636 42176517.1441181 815596.968324607 776622.659951732
161 44035139.8129095 43158394.0469928 915686.369112645 852470.004135964
162 37723754.071141 37262639.2885561 665008.134371867 634000.808721598
163 42821726.3107655 42337174.3988879 826475.337835902 792762.129109249
164 36350316.7016118 35995831.5855649 632906.463269123 609194.049415973
165 41806537.8918555 41077382.273093 812009.214004369 760153.359071948
166 41200043.775327 40699153.2588676 782468.268927173 747579.561584865
167 44488787.1586418 43684924.6908137 902329.42729007 843901.796273051
168 40722176.901553 40056541.7068255 765944.497926058 719144.571811734
169 37871259.2379235 37439668.985932 679311.329635869 649878.370350442
170 42671216.3799407 41981939.3586012 804703.31983102 755091.18391679
171 43576972.2221503 42851905.4964593 859237.521582936 807413.855740411
172 42519459.6846131 42066562.7683124 805012.584700808 771938.062409153
173 39334342.197463 38942917.2090085 740775.091267363 713803.891566604
174 42938611.8134539 42005479.3455331 869620.267214919 804026.764302652
175 42702851.0234878 42078525.9409149 821853.366223473 776600.459056488
176 44713848.9944814 44036792.0967423 889383.511921638 839128.629693265
177 48747385.6817877 47944867.6549936 1050196.17302516 991163.736438403
178 43544996.9493682 43031217.4531848 830135.27721512 792909.143014274
179 39338309.7933926 38887934.8372385 706899.751940005 675442.681041032
180 43362548.115441 42798783.6000908 813362.067633426 772069.209893681
181 43635957.8814302 42981243.6293083 869916.022807771 822622.342765715
182 39150079.9411615 38574374.7095443 736404.994075279 696943.313855771
183 40425682.7566216 39796817.0175514 794855.599213786 751460.721563245
184 42634943.3590118 42167416.4238613 782893.456768584 749347.889051646
185 47058426.7533596 46211650.4309163 962080.362604079 899759.775871517
186 42581546.1050617 41869681.4159058 853583.378571072 804051.65079043
187 45663403.5403595 44755198.5179277 920072.260784006 853185.628866648
188 41631673.0182118 40917039.2002011 786358.228950886 736274.459880255
189 38364939.2516698 37777377.5878418 702495.427941958 662488.882945341
190 41355946.7179116 40756420.7527549 745719.722914272 702414.113220816
191 42081322.4974359 41457872.1807853 838100.16438982 794802.723256664
192 45303478.6600959 44431799.0363441 911740.960169273 850331.961569756
193 37637023.2170736 37160805.422226 683423.384402926 650638.655024921
194 47570178.7128366 46957955.5454911 944633.279425282 900639.360167459
195 44477556.8245127 43997570.506616 907879.785873294 874267.953230859
196 38919545.6516766 38509467.161142 679416.49092623 650581.016946989
197 41423177.0678237 40734977.9484785 821832.922335458 772884.02486556
198 45728471.7385903 44644466.2613922 936943.51792893 860183.210824572
199 44391578.3419677 43833728.563476 840459.392468845 800617.635223472
200 42954648.4140865 42372533.8339684 810597.309580604 768356.09351716
201 34919459.4891483 34658314.0294487 566756.850362647 549581.837856491
202 36674346.041221 36417221.6068451 669035.179723813 652170.347364368
203 43137267.0327789 42623023.6777868 829660.189824946 792778.256515304
204 39178695.177114 38567950.8727513 728059.734945248 685520.805682965
