ID imp_con imp_vac i_con i_vac
1 41540053.1622229 40888458.2272986 789578.344517386 744078.093635453
2 41287589.7500932 40920457.0406013 729324.626022774 703050.734958903
3 41804575.2176022 41083721.2738497 806435.161683481 756903.886817063
4 41876488.1255987 41325585.9881317 789537.450359495 750500.961239011
5 38526604.2944535 38207730.6738794 683884.24918977 662055.783970447
6 43271941.2878185 42492935.3026183 837909.176715041 783182.929720112
7 42316737.6692971 41624450.5545869 820867.987322201 771180.718128043
8 34422605.3980626 34057888.5844041 588975.841330755 564721.575716561
9 40308696.9561453 39943879.3190756 718663.55816278 693298.527920233
10 46528269.1784762 45787968.037206 934108.364848385 879389.280348693
11 44072808.2232199 43482592.5926745 860311.002823308 816885.928851949
12 45322105.4188496 44864563.8371816 898253.882483825 865628.048351951
13 44252841.6642362 43568439.4307712 871176.20090767 822877.15179919
14 39832633.5403122 39383688.6837797 754335.165832549 724341.305768686
15 45282069.1589159 44438932.323893 922838.869132866 861189.879230996
16 44406171.2877519 43667104.1716782 909698.927536065 856985.317863706
17 40934864.9799924 40403150.3971421 781771.943296042 744650.15282555
18 39114916.5380576 38460348.6978599 764445.650918943 718983.245153047
19 46102263.0729804 45100424.290995 945084.098052146 874033.28944131
20 38997489.4869396 38715132.6709435 689935.519145555 670246.813484608
21 43133571.0312844 42605080.1081348 823014.186757435 784858.343065424
22 39409958.1429643 39086893.3771031 706301.437764433 683748.765403863
23 38282001.2352576 37656803.9269274 715506.875953359 673481.069612847
24 41777803.0146495 40884062.6998661 819342.199045159 757152.145586535
25 38024460.1766749 37580776.0322182 657351.976221359 626811.466886928
26 42352413.7879825 41656335.5962235 806991.126056926 757689.800599668
27 43083826.367573 42242660.9333744 865147.695626533 805838.623760033
28 45373134.1479064 44742191.9360928 911421.470840465 866604.63875095
29 42506126.9796559 41707321.3495877 811236.242901702 754142.729311694
30 42153888.1216023 41858048.2358015 784281.546844393 763728.125545359
31 44410295.312786 43578497.561001 897032.559780437 836878.710604821
32 42969940.3625413 42349134.334154 835953.591985993 792348.556006735
33 39745952.5484309 39311651.7629573 749588.233083697 720648.007123008
34 41924386.6480886 41283532.6011485 767821.92549658 721944.552745768
35 44883242.2743867 44339035.5813078 856677.700679073 818441.832880649
36 40715707.0586927 40098295.9128376 781312.450310294 737774.126647042
37 42243081.8551826 41631682.2300508 815939.078166437 773005.951082533
38 41789636.8991317 41031774.4375876 815468.929285327 762136.936303021
39 46661895.3217076 45692251.710002 928740.013836177 859903.453717163
40 44209225.6019436 43508706.9856279 897297.355149819 847852.435757326
41 43727299.1900215 42997177.6831214 887765.549191993 835332.273398447
42 37296437.3596305 36867990.8052596 659217.767979142 630966.274260457
43 39884478.7737834 39351891.2292904 760031.402598206 723873.026724531
44 38273405.5584754 37707007.1867813 684295.030669771 645116.199883609
45 41430640.4023346 41108137.1330562 727755.579227912 705713.105567515
46 45717488.4015106 44892227.9867768 897485.233327752 837512.448977185
47 45413400.4688662 44740314.9239821 884950.8420713 836747.726766935
48 39780806.0504628 39308715.8389814 742906.236133483 710740.606423314
49 41086058.0388232 40574544.9982249 736076.991102467 700850.747899613
50 41589098.5904577 41038076.482366 795511.0773115 757738.11361944
51 44260246.7939322 43555623.9906755 876098.47102865 824953.141543985
52 43079192.7753949 42227530.8208548 818699.573952763 758749.791714877
53 41870876.6697398 41342027.313648 799951.510961651 763027.476136482
54 41016008.4782847 40421885.0329099 760187.164272952 717866.268291735
55 42192516.2429662 41480865.6543842 817149.8974757 765272.710350947
56 44946432.2396721 44275663.0171312 812673.384233557 767307.573465668
57 35483116.4693477 35160034.3260881 575663.767845528 553710.152263234
58 42953879.8705708 42171021.6991642 839739.869265232 782274.435281998
59 40588161.3486135 39983795.3327523 748338.96734699 705389.937521538
60 45576798.4591487 44866797.328935 914787.18661982 863436.683008424
61 38572687.9517994 38331110.4068216 673061.832947032 656798.831215643
62 41902194.510258 41025194.9331469 858027.753662237 796132.10051517
63 40457542.879138 39841416.6017875 793324.704340143 750910.710473566
64 45230729.5656293 44331806.7812185 888871.103027956 825127.104176746
65 42309382.5493337 41905308.3362567 780175.034623881 751565.821425428
66 44901306.3412559 44345592.8964394 871815.487138354 831822.226998915
67 42708484.0683084 42222054.5352456 798656.815443086 764624.373197376
68 40532717.7196186 40024795.3896066 774701.867070945 739996.22694216
69 47563619.1363021 46725531.7545627 1012770.34533647 951323.251694258
70 43750324.3237 43181031.762011 841401.442445161 800799.499573838
71 37810956.8900929 37387840.336898 676164.347925036 646708.600099432
72 42433329.9509944 41899177.4872486 812964.505581097 775592.708798057
73 45674204.8494741 45116404.679637 899776.093505898 858854.144021873
74 44324006.111546 43513253.9149331 914619.484291263 855566.684369955
75 33239521.1989135 33025147.4631868 536215.711465164 522414.448387762
76 41576993.9455525 40785184.3563616 780787.52142 724010.490180204
77 43867183.1844866 43269079.5510688 850861.092674652 808002.028554694
78 45200063.2851914 44628477.8967378 878188.722382001 838437.229298155
79 40798658.4664284 40044076.0018955 775657.573782497 724383.310512426
80 36956348.358799 36572312.5718023 662991.81424213 637832.903959566
