entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
s 	 0 	 0 	 5 	 0 	 1 	 0.999996845016 	 0.999996845016 	 0.999996845016 
s 	 0 	 5 	 10 	 0 	 1 	 0.999992071821 	 0.999992071821 	 0.999992071821 
s 	 0 	 10 	 15 	 0 	 1 	 0.999983054664 	 0.999983054664 	 0.999983054664 
s 	 0 	 15 	 20 	 0 	 1 	 0.999977697188 	 0.999977697188 	 0.999977697188 
s 	 0 	 20 	 25 	 0 	 1 	 0.999968765652 	 0.999968765652 	 0.999968765652 
s 	 0 	 25 	 30 	 0 	 1 	 0.999957452139 	 0.999957452139 	 0.999957452139 
s 	 0 	 30 	 35 	 0 	 1 	 0.999947287773 	 0.999947287773 	 0.999947287773 
s 	 0 	 35 	 40 	 0 	 1 	 0.999938356154 	 0.999938356154 	 0.999938356154 
s 	 0 	 40 	 45 	 0 	 1 	 0.999928573951 	 0.999928573951 	 0.999928573951 
s 	 0 	 45 	 50 	 0 	 1 	 0.999914156292 	 0.999914156292 	 0.999914156292 
s 	 0 	 50 	 55 	 0 	 1 	 0.999903444628 	 0.999903444628 	 0.999903444628 
s 	 0 	 55 	 60 	 0 	 1 	 0.999891457278 	 0.999891457278 	 0.999891457278 
s 	 0 	 60 	 65 	 0 	 1 	 0.999875285080 	 0.999875285080 	 0.999875285080 
s 	 0 	 65 	 70 	 0 	 1 	 0.999860816595 	 0.999860816595 	 0.999860816595 
s 	 0 	 70 	 75 	 0 	 1 	 0.999829079625 	 0.999829079625 	 0.999829079625 
s 	 0 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
lf 	 1 	 0 	 5 	 0 	 1 	 0.000000100084 	 0.000000100084 	 0.000000100084 
lf 	 1 	 5 	 10 	 0 	 1 	 0.000000028643 	 0.000000028643 	 0.000000028643 
lf 	 1 	 10 	 15 	 0 	 1 	 0.000000163255 	 0.000000163255 	 0.000000163255 
lf 	 1 	 15 	 20 	 0 	 1 	 0.000000162378 	 0.000000162378 	 0.000000162378 
lf 	 1 	 20 	 25 	 0 	 1 	 0.000000214215 	 0.000000214215 	 0.000000214215 
lf 	 1 	 25 	 30 	 0 	 1 	 0.000000184825 	 0.000000184825 	 0.000000184825 
lf 	 1 	 30 	 35 	 0 	 1 	 0.000000167718 	 0.000000167718 	 0.000000167718 
lf 	 1 	 35 	 40 	 0 	 1 	 0.000000172074 	 0.000000172074 	 0.000000172074 
lf 	 1 	 40 	 45 	 0 	 1 	 0.000000189075 	 0.000000189075 	 0.000000189075 
