entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
s 	 0 	 0 	 5 	 0 	 1 	 0.975757735354 	 0.975757735354 	 0.975757735354 
s 	 0 	 5 	 10 	 0 	 1 	 0.876139645665 	 0.876139645665 	 0.876139645665 
s 	 0 	 10 	 15 	 0 	 1 	 0.789101056946 	 0.789101056946 	 0.789101056946 
s 	 0 	 15 	 20 	 0 	 1 	 0.711147015785 	 0.711147015785 	 0.711147015785 
s 	 0 	 20 	 25 	 0 	 1 	 0.544391170588 	 0.544391170588 	 0.544391170588 
s 	 0 	 25 	 30 	 0 	 1 	 0.407792899003 	 0.407792899003 	 0.407792899003 
s 	 0 	 30 	 35 	 0 	 1 	 0.307281191970 	 0.307281191970 	 0.307281191970 
s 	 0 	 35 	 40 	 0 	 1 	 0.238002211693 	 0.238002211693 	 0.238002211693 
s 	 0 	 40 	 45 	 0 	 1 	 0.185740561654 	 0.185740561654 	 0.185740561654 
s 	 0 	 45 	 50 	 0 	 1 	 0.146019411777 	 0.146019411777 	 0.146019411777 
s 	 0 	 50 	 55 	 0 	 1 	 0.112427394603 	 0.112427394603 	 0.112427394603 
s 	 0 	 55 	 60 	 0 	 1 	 0.083206172503 	 0.083206172503 	 0.083206172503 
s 	 0 	 60 	 65 	 0 	 1 	 0.057312304680 	 0.057312304680 	 0.057312304680 
s 	 0 	 65 	 70 	 0 	 1 	 0.052821220901 	 0.052821220901 	 0.052821220901 
s 	 0 	 70 	 75 	 0 	 1 	 0.045160493869 	 0.045160493869 	 0.045160493869 
s 	 0 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
lf 	 1 	 0 	 5 	 0 	 1 	 0.000842113729 	 0.000842113729 	 0.000842113729 
lf 	 1 	 5 	 10 	 0 	 1 	 0.000565716895 	 0.000565716895 	 0.000565716895 
lf 	 1 	 10 	 15 	 0 	 1 	 0.002617046522 	 0.002617046522 	 0.002617046522 
lf 	 1 	 15 	 20 	 0 	 1 	 0.002790182915 	 0.002790182915 	 0.002790182915 
lf 	 1 	 20 	 25 	 0 	 1 	 0.006204426665 	 0.006204426665 	 0.006204426665 
lf 	 1 	 25 	 30 	 0 	 1 	 0.006448883755 	 0.006448883755 	 0.006448883755 
lf 	 1 	 30 	 35 	 0 	 1 	 0.005688489088 	 0.005688489088 	 0.005688489088 
lf 	 1 	 35 	 40 	 0 	 1 	 0.004735300421 	 0.004735300421 	 0.004735300421 
lf 	 1 	 40 	 45 	 0 	 1 	 0.004172900144 	 0.004172900144 	 0.004172900144 
lf 	 1 	 45 	 50 	 0 	 1 	 0.003975021799 	 0.003975021799 	 0.003975021799 
lf 	 1 	 50 	 55 	 0 	 1 	 0.003921299887 	 0.003921299887 	 0.003921299887 
lf 	 1 	 55 	 60 	 0 	 1 	 0.003686901159 	 0.003686901159 	 0.003686901159 
lf 	 1 	 60 	 65 	 0 	 1 	 0.004288944033 	 0.004288944033 	 0.004288944033 
lf 	 1 	 65 	 70 	 0 	 1 	 0.001701698660 	 0.001701698660 	 0.001701698660 
lf 	 1 	 70 	 75 	 0 	 1 	 0.001144893008 	 0.001144893008 	 0.001144893008 
lf 	 1 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ls 	 2 	 0 	 5 	 0 	 1 	 0.019952016459 	 0.019952016459 	 0.019952016459 
ls 	 2 	 5 	 10 	 0 	 1 	 0.117213112721 	 0.117213112721 	 0.117213112721 
ls 	 2 	 10 	 15 	 0 	 1 	 0.191039417600 	 0.191039417600 	 0.191039417600 
ls 	 2 	 15 	 20 	 0 	 1 	 0.257315285972 	 0.257315285972 	 0.257315285972 
ls 	 2 	 20 	 25 	 0 	 1 	 0.397396945129 	 0.397396945129 	 0.397396945129 
ls 	 2 	 25 	 30 	 0 	 1 	 0.510318161407 	 0.510318161407 	 0.510318161407 
ls 	 2 	 30 	 35 	 0 	 1 	 0.591299014774 	 0.591299014774 	 0.591299014774 
ls 	 2 	 35 	 40 	 0 	 1 	 0.645225569557 	 0.645225569557 	 0.645225569557 
ls 	 2 	 40 	 45 	 0 	 1 	 0.684084680323 	 0.684084680323 	 0.684084680323 
ls 	 2 	 45 	 50 	 0 	 1 	 0.711998859056 	 0.711998859056 	 0.711998859056 
ls 	 2 	 50 	 55 	 0 	 1 	 0.733790122679 	 0.733790122679 	 0.733790122679 
ls 	 2 	 55 	 60 	 0 	 1 	 0.750317612149 	 0.750317612149 	 0.750317612149 
ls 	 2 	 60 	 65 	 0 	 1 	 0.761652561930 	 0.761652561930 	 0.761652561930 
ls 	 2 	 65 	 70 	 0 	 1 	 0.762684291396 	 0.762684291396 	 0.762684291396 
ls 	 2 	 70 	 75 	 0 	 1 	 0.763096023670 	 0.763096023670 	 0.763096023670 
ls 	 2 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
di+ 	 3 	 0 	 5 	 0 	 1 	 0.000054954011 	 0.000054954011 	 0.000054954011 
di+ 	 3 	 5 	 10 	 0 	 1 	 0.000050931810 	 0.000050931810 	 0.000050931810 
di+ 	 3 	 10 	 15 	 0 	 1 	 0.000186289325 	 0.000186289325 	 0.000186289325 
di+ 	 3 	 15 	 20 	 0 	 1 	 0.000928876034 	 0.000928876034 	 0.000928876034 
di+ 	 3 	 20 	 25 	 0 	 1 	 0.002077657578 	 0.002077657578 	 0.002077657578 
di+ 	 3 	 25 	 30 	 0 	 1 	 0.002354504805 	 0.002354504805 	 0.002354504805 
di+ 	 3 	 30 	 35 	 0 	 1 	 0.002206622501 	 0.002206622501 	 0.002206622501 
di+ 	 3 	 35 	 40 	 0 	 1 	 0.001932840349 	 0.001932840349 	 0.001932840349 
di+ 	 3 	 40 	 45 	 0 	 1 	 0.001747103898 	 0.001747103898 	 0.001747103898 
di+ 	 3 	 45 	 50 	 0 	 1 	 0.001675221442 	 0.001675221442 	 0.001675221442 
di+ 	 3 	 50 	 55 	 0 	 1 	 0.001658269069 	 0.001658269069 	 0.001658269069 
di+ 	 3 	 55 	 60 	 0 	 1 	 0.001596282559 	 0.001596282559 	 0.001596282559 
di+ 	 3 	 60 	 65 	 0 	 1 	 0.001770341300 	 0.001770341300 	 0.001770341300 
di+ 	 3 	 65 	 70 	 0 	 1 	 0.001061007186 	 0.001061007186 	 0.001061007186 
di+ 	 3 	 70 	 75 	 0 	 1 	 0.000760357157 	 0.000760357157 	 0.000760357157 
di+ 	 3 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
di- 	 4 	 0 	 5 	 0 	 1 	 0.000423290297 	 0.000423290297 	 0.000423290297 
