entries = 15 
description index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval
omega_fast	0	0	120	0	3	0.900000	0.765000	1.035000
omega_slow	1	0	120	0	3	7.5E-4	6.375E-4	8.625E-4
mu_i+	2	0	120	0	3	0.25	0.213	0.288
mu_i-	3	0	120	0	3	0.1	0.085	0.115
mu_np	4	0	120	0	3	0.1	0.085	0.115
q	5	0	120	0	3	0.21	0.14	0.30
Psi	6	0	120	0	3	2	1.7	2.3
Theta	7	0	120	0	3	0.015	0.007	0.02
rdef	8	0	120	0	3	1.887E-3	0.677E-3	4.310E-3
rn	9	0	120	0	3	0.03	0.02	0.04
nu	10	0	120	0	3	0.1	0.085 0.115
phi_D_i-	11	0	120	0	3	0.25	0.213	0.288
phi_F	12	0	120	0	3	0.5	0.25	0.75
mc	13	0	120	0	3	0.15	0.10	0.20
rsuc	14	0	120	0	3	4.696E-4	3.182E-4	6.225E-4
