entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
0 5 0 1 1950 1951 3327720.000000 3327720.000000 3327720.000000
5 10 0 1 1950 1951 2531612.000000 2531612.000000 2531612.000000
10 15 0 1 1950 1951 2133803.000000 2133803.000000 2133803.000000
15 20 0 1 1950 1951 1837158.000000 1837158.000000 1837158.000000
20 25 0 1 1950 1951 1574490.000000 1574490.000000 1574490.000000
25 30 0 1 1950 1951 1343504.000000 1343504.000000 1343504.000000
30 35 0 1 1950 1951 1139059.000000 1139059.000000 1139059.000000
35 40 0 1 1950 1951 967190.000000 967190.000000 967190.000000
40 45 0 1 1950 1951 815294.000000 815294.000000 815294.000000
45 50 0 1 1950 1951 680966.000000 680966.000000 680966.000000
50 55 0 1 1950 1951 493732.000000 493732.000000 493732.000000
55 60 0 1 1950 1951 410003.000000 410003.000000 410003.000000
60 65 0 1 1950 1951 329448.000000 329448.000000 329448.000000
65 70 0 1 1950 1951 250778.000000 250778.000000 250778.000000
70 120 0 1 1950 1951 293277.000000 293277.000000 293277.000000
0 5 0 1 1951 1952 3389402.000000 3389402.000000 3389402.000000
5 10 0 1 1951 1952 2605960.000000 2605960.000000 2605960.000000
10 15 0 1 1951 1952 2174666.000000 2174666.000000 2174666.000000
15 20 0 1 1951 1952 1869393.000000 1869393.000000 1869393.000000
20 25 0 1 1951 1952 1601434.000000 1601434.000000 1601434.000000
25 30 0 1 1951 1952 1366274.000000 1366274.000000 1366274.000000
30 35 0 1 1951 1952 1157670.000000 1157670.000000 1157670.000000
35 40 0 1 1951 1952 981181.000000 981181.000000 981181.000000
40 45 0 1 1951 1952 826079.000000 826079.000000 826079.000000
45 50 0 1 1951 1952 696113.000000 696113.000000 696113.000000
50 55 0 1 1951 1952 510553.000000 510553.000000 510553.000000
55 60 0 1 1951 1952 409146.000000 409146.000000 409146.000000
60 65 0 1 1951 1952 329124.000000 329124.000000 329124.000000
65 70 0 1 1951 1952 249633.000000 249633.000000 249633.000000
70 120 0 1 1951 1952 300340.000000 300340.000000 300340.000000
0 5 0 1 1952 1953 3412826.000000 3412826.000000 3412826.000000
5 10 0 1 1952 1953 2683993.000000 2683993.000000 2683993.000000
10 15 0 1 1952 1953 2225701.000000 2225701.000000 2225701.000000
15 20 0 1 1952 1953 1909788.000000 1909788.000000 1909788.000000
20 25 0 1 1952 1953 1634831.000000 1634831.000000 1634831.000000
25 30 0 1 1952 1953 1393685.000000 1393685.000000 1393685.000000
30 35 0 1 1952 1953 1181084.000000 1181084.000000 1181084.000000
35 40 0 1 1952 1953 998691.000000 998691.000000 998691.000000
40 45 0 1 1952 1953 840673.000000 840673.000000 840673.000000
45 50 0 1 1952 1953 708824.000000 708824.000000 708824.000000
50 55 0 1 1952 1953 535207.000000 535207.000000 535207.000000
55 60 0 1 1952 1953 408928.000000 408928.000000 408928.000000
60 65 0 1 1952 1953 331079.000000 331079.000000 331079.000000
65 70 0 1 1952 1953 249146.000000 249146.000000 249146.000000
70 120 0 1 1952 1953 305244.000000 305244.000000 305244.000000
0 5 0 1 1953 1954 3430665.000000 3430665.000000 3430665.000000
5 10 0 1 1953 1954 2754029.000000 2754029.000000 2754029.000000
10 15 0 1 1953 1954 2283349.000000 2283349.000000 2283349.000000
15 20 0 1 1953 1954 1954360.000000 1954360.000000 1954360.000000
20 25 0 1 1953 1954 1671640.000000 1671640.000000 1671640.000000
25 30 0 1 1953 1954 1423338.000000 1423338.000000 1423338.000000
30 35 0 1 1953 1954 1206983.000000 1206983.000000 1206983.000000
35 40 0 1 1953 1954 1018166.000000 1018166.000000 1018166.000000
40 45 0 1 1953 1954 857255.000000 857255.000000 857255.000000
45 50 0 1 1953 1954 719625.000000 719625.000000 719625.000000
50 55 0 1 1953 1954 563373.000000 563373.000000 563373.000000
55 60 0 1 1953 1954 410814.000000 410814.000000 410814.000000
60 65 0 1 1953 1954 334168.000000 334168.000000 334168.000000
65 70 0 1 1953 1954 249279.000000 249279.000000 249279.000000
70 120 0 1 1953 1954 307248.000000 307248.000000 307248.000000
0 5 0 1 1954 1955 3458708.000000 3458708.000000 3458708.000000
5 10 0 1 1954 1955 2807622.000000 2807622.000000 2807622.000000
10 15 0 1 1954 1955 2344335.000000 2344335.000000 2344335.000000
15 20 0 1 1954 1955 2001962.000000 2001962.000000 2001962.000000
20 25 0 1 1954 1955 1710997.000000 1710997.000000 1710997.000000
25 30 0 1 1954 1955 1454968.000000 1454968.000000 1454968.000000
30 35 0 1 1954 1955 1234480.000000 1234480.000000 1234480.000000
35 40 0 1 1954 1955 1039454.000000 1039454.000000 1039454.000000
40 45 0 1 1954 1955 874888.000000 874888.000000 874888.000000
45 50 0 1 1954 1955 731025.000000 731025.000000 731025.000000
50 55 0 1 1954 1955 589932.000000 589932.000000 589932.000000
55 60 0 1 1954 1955 417808.000000 417808.000000 417808.000000
60 65 0 1 1954 1955 337475.000000 337475.000000 337475.000000
65 70 0 1 1954 1955 250304.000000 250304.000000 250304.000000
70 120 0 1 1954 1955 306058.000000 306058.000000 306058.000000
0 5 0 1 1955 1956 3507758.000000 3507758.000000 3507758.000000
5 10 0 1 1955 1956 2837222.000000 2837222.000000 2837222.000000
10 15 0 1 1955 1956 2403392.000000 2403392.000000 2403392.000000
15 20 0 1 1955 1956 2053303.000000 2053303.000000 2053303.000000
20 25 0 1 1955 1956 1753310.000000 1753310.000000 1753310.000000
25 30 0 1 1955 1956 1489168.000000 1489168.000000 1489168.000000
30 35 0 1 1955 1956 1263475.000000 1263475.000000 1263475.000000
35 40 0 1 1955 1956 1062842.000000 1062842.000000 1062842.000000
40 45 0 1 1955 1956 893435.000000 893435.000000 893435.000000
45 50 0 1 1955 1956 744771.000000 744771.000000 744771.000000
50 55 0 1 1955 1956 612200.000000 612200.000000 612200.000000
55 60 0 1 1955 1956 431486.000000 431486.000000 431486.000000
60 65 0 1 1955 1956 340796.000000 340796.000000 340796.000000
65 70 0 1 1955 1956 252401.000000 252401.000000 252401.000000
70 120 0 1 1955 1956 301733.000000 301733.000000 301733.000000
0 5 0 1 1956 1957 3570127.000000 3570127.000000 3570127.000000
5 10 0 1 1956 1957 2904034.000000 2904034.000000 2904034.000000
10 15 0 1 1956 1957 2457154.000000 2457154.000000 2457154.000000
15 20 0 1 1956 1957 2096142.000000 2096142.000000 2096142.000000
20 25 0 1 1956 1957 1787931.000000 1787931.000000 1787931.000000
25 30 0 1 1956 1957 1518264.000000 1518264.000000 1518264.000000
30 35 0 1 1956 1957 1287357.000000 1287357.000000 1287357.000000
35 40 0 1 1956 1957 1082613.000000 1082613.000000 1082613.000000
40 45 0 1 1956 1957 908623.000000 908623.000000 908623.000000
45 50 0 1 1956 1957 756406.000000 756406.000000 756406.000000
50 55 0 1 1956 1957 626905.000000 626905.000000 626905.000000
55 60 0 1 1956 1957 447502.000000 447502.000000 447502.000000
60 65 0 1 1956 1957 341219.000000 341219.000000 341219.000000
65 70 0 1 1956 1957 253623.000000 253623.000000 253623.000000
70 120 0 1 1956 1957 309913.000000 309913.000000 309913.000000
0 5 0 1 1957 1958 3632160.000000 3632160.000000 3632160.000000
5 10 0 1 1957 1958 2959310.000000 2959310.000000 2959310.000000
10 15 0 1 1957 1958 2517695.000000 2517695.000000 2517695.000000
15 20 0 1 1957 1958 2144211.000000 2144211.000000 2144211.000000
20 25 0 1 1957 1958 1825942.000000 1825942.000000 1825942.000000
25 30 0 1 1957 1958 1550307.000000 1550307.000000 1550307.000000
30 35 0 1 1957 1958 1313254.000000 1313254.000000 1313254.000000
35 40 0 1 1957 1958 1104854.000000 1104854.000000 1104854.000000
40 45 0 1 1957 1958 925364.000000 925364.000000 925364.000000
45 50 0 1 1957 1958 770219.000000 770219.000000 770219.000000
50 55 0 1 1957 1958 638576.000000 638576.000000 638576.000000
55 60 0 1 1957 1958 469578.000000 469578.000000 469578.000000
60 65 0 1 1957 1958 341481.000000 341481.000000 341481.000000
65 70 0 1 1957 1958 255918.000000 255918.000000 255918.000000
70 120 0 1 1957 1958 315581.000000 315581.000000 315581.000000
