Year Inc Inc_lo Inc_hi Source_inc Mort Mort_lo Mort_hi Source_mort
2000 4210 2730 6020 WHO_data 1590 930 2430 WHO_data
2001 4090 2650 5840 WHO_data 1510 880 2300 WHO_data
2002 3930 2550 5620 WHO_data 1240 750 1850 WHO_data
2003 3760 2430 5370 WHO_data 1130 690 1690 WHO_data
2004 3580 2320 5110 WHO_data 1030 620 1530 WHO_data
2005 3410 2200 4870 WHO_data 950 580 1410 WHO_data
2006 3250 2100 4640 WHO_data 900 550 1330 WHO_data
2007 3100 2010 4430 WHO_data 810 500 1210 WHO_data
2008 2960 1920 4230 WHO_data 690 420 1020 WHO_data
2009 2820 1830 4030 WHO_data 600 370 880 WHO_data
2010 2680 1730 3830 WHO_data 520 320 770 WHO_data
2011 2530 1820 3370 WHO_data 460 330 610 WHO_data
2012 2390 1540 3410 WHO_data 440 280 620 WHO_data
2013 2240 1450 3200 WHO_data 450 300 640 WHO_data
2014 2070 1340 2950 WHO_data 440 280 620 WHO_data
2015 1920 1420 2500 WHO_data 310 210 420 WHO_data
2016 1770 1250 2390 WHO_data 300 200 410 WHO_data
2017 1640 1150 2210 WHO_data 280 190 390 WHO_data
2018 1510 1070 2040 WHO_data 240 160 340 WHO_data
