entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
0 5 0 1 1950 1951 54170080.000000 54170080.000000 54170080.000000
5 10 0 1 1950 1951 44774600.000000 44774600.000000 44774600.000000
10 15 0 1 1950 1951 42141588.000000 42141588.000000 42141588.000000
15 20 0 1 1950 1951 38463516.000000 38463516.000000 38463516.000000
20 25 0 1 1950 1951 34405608.000000 34405608.000000 34405608.000000
25 30 0 1 1950 1951 30386088.000000 30386088.000000 30386088.000000
30 35 0 1 1950 1951 26933214.000000 26933214.000000 26933214.000000
35 40 0 1 1950 1951 23481448.000000 23481448.000000 23481448.000000
40 45 0 1 1950 1951 20601952.000000 20601952.000000 20601952.000000
45 50 0 1 1950 1951 16488664.000000 16488664.000000 16488664.000000
50 55 0 1 1950 1951 14248402.000000 14248402.000000 14248402.000000
55 60 0 1 1950 1951 9928030.000000 9928030.000000 9928030.000000
60 65 0 1 1950 1951 8489895.000000 8489895.000000 8489895.000000
65 70 0 1 1950 1951 4800567.000000 4800567.000000 4800567.000000
70 120 0 1 1950 1951 7011555.000000 7011555.000000 7011555.000000
0 5 0 1 1951 1952 56786544.000000 56786544.000000 56786544.000000
5 10 0 1 1951 1952 45342240.000000 45342240.000000 45342240.000000
10 15 0 1 1951 1952 42224612.000000 42224612.000000 42224612.000000
15 20 0 1 1951 1952 38827576.000000 38827576.000000 38827576.000000
20 25 0 1 1951 1952 34775076.000000 34775076.000000 34775076.000000
25 30 0 1 1951 1952 30706118.000000 30706118.000000 30706118.000000
30 35 0 1 1951 1952 27181764.000000 27181764.000000 27181764.000000
35 40 0 1 1951 1952 23684440.000000 23684440.000000 23684440.000000
40 45 0 1 1951 1952 20836608.000000 20836608.000000 20836608.000000
45 50 0 1 1951 1952 16754177.000000 16754177.000000 16754177.000000
50 55 0 1 1951 1952 14385820.000000 14385820.000000 14385820.000000
55 60 0 1 1951 1952 10198731.000000 10198731.000000 10198731.000000
60 65 0 1 1951 1952 8453904.000000 8453904.000000 8453904.000000
65 70 0 1 1951 1952 5062668.000000 5062668.000000 5062668.000000
70 120 0 1 1951 1952 7025023.000000 7025023.000000 7025023.000000
0 5 0 1 1952 1953 59810484.000000 59810484.000000 59810484.000000
5 10 0 1 1952 1953 46010104.000000 46010104.000000 46010104.000000
10 15 0 1 1952 1953 42235608.000000 42235608.000000 42235608.000000
15 20 0 1 1952 1953 39215136.000000 39215136.000000 39215136.000000
20 25 0 1 1952 1953 35127112.000000 35127112.000000 35127112.000000
25 30 0 1 1952 1953 31039136.000000 31039136.000000 31039136.000000
30 35 0 1 1952 1953 27406444.000000 27406444.000000 27406444.000000
35 40 0 1 1952 1953 23927580.000000 23927580.000000 23927580.000000
40 45 0 1 1952 1953 20966426.000000 20966426.000000 20966426.000000
45 50 0 1 1952 1953 17159446.000000 17159446.000000 17159446.000000
50 55 0 1 1952 1953 14346062.000000 14346062.000000 14346062.000000
55 60 0 1 1952 1953 10674775.000000 10674775.000000 10674775.000000
60 65 0 1 1952 1953 8228546.000000 8228546.000000 8228546.000000
65 70 0 1 1952 1953 5460084.000000 5460084.000000 5460084.000000
70 120 0 1 1952 1953 6931681.000000 6931681.000000 6931681.000000
0 5 0 1 1953 1954 62509480.000000 62509480.000000 62509480.000000
5 10 0 1 1953 1954 46850784.000000 46850784.000000 46850784.000000
10 15 0 1 1953 1954 42325892.000000 42325892.000000 42325892.000000
15 20 0 1 1953 1954 39663208.000000 39663208.000000 39663208.000000
20 25 0 1 1953 1954 35537968.000000 35537968.000000 35537968.000000
25 30 0 1 1953 1954 31441660.000000 31441660.000000 31441660.000000
30 35 0 1 1953 1954 27678604.000000 27678604.000000 27678604.000000
35 40 0 1 1953 1954 24241464.000000 24241464.000000 24241464.000000
40 45 0 1 1953 1954 21080856.000000 21080856.000000 21080856.000000
45 50 0 1 1953 1954 17663228.000000 17663228.000000 17663228.000000
50 55 0 1 1953 1954 14263647.000000 14263647.000000 14263647.000000
55 60 0 1 1953 1954 11251141.000000 11251141.000000 11251141.000000
60 65 0 1 1953 1954 7971694.000000 7971694.000000 7971694.000000
65 70 0 1 1953 1954 5884848.000000 5884848.000000 5884848.000000
70 120 0 1 1953 1954 6795614.000000 6795614.000000 6795614.000000
0 5 0 1 1954 1955 64697564.000000 64697564.000000 64697564.000000
5 10 0 1 1954 1955 47880164.000000 47880164.000000 47880164.000000
10 15 0 1 1954 1955 42572668.000000 42572668.000000 42572668.000000
15 20 0 1 1954 1955 40121788.000000 40121788.000000 40121788.000000
20 25 0 1 1954 1955 36032680.000000 36032680.000000 36032680.000000
25 30 0 1 1954 1955 31918552.000000 31918552.000000 31918552.000000
30 35 0 1 1954 1955 28031726.000000 28031726.000000 28031726.000000
35 40 0 1 1954 1955 24606524.000000 24606524.000000 24606524.000000
40 45 0 1 1954 1955 21259832.000000 21259832.000000 21259832.000000
45 50 0 1 1954 1955 18160512.000000 18160512.000000 18160512.000000
50 55 0 1 1954 1955 14294976.000000 14294976.000000 14294976.000000
55 60 0 1 1954 1955 11759197.000000 11759197.000000 11759197.000000
60 65 0 1 1954 1955 7867810.000000 7867810.000000 7867810.000000
65 70 0 1 1954 1955 6193254.000000 6193254.000000 6193254.000000
70 120 0 1 1954 1955 6679783.000000 6679783.000000 6679783.000000
0 5 0 1 1955 1956 66574564.000000 66574564.000000 66574564.000000
5 10 0 1 1955 1956 49070408.000000 49070408.000000 49070408.000000
10 15 0 1 1955 1956 42953604.000000 42953604.000000 42953604.000000
15 20 0 1 1955 1956 40534588.000000 40534588.000000 40534588.000000
20 25 0 1 1955 1956 36596656.000000 36596656.000000 36596656.000000
25 30 0 1 1955 1956 32446140.000000 32446140.000000 32446140.000000
30 35 0 1 1955 1956 28459082.000000 28459082.000000 28459082.000000
35 40 0 1 1955 1956 24990916.000000 24990916.000000 24990916.000000
40 45 0 1 1955 1956 21530114.000000 21530114.000000 21530114.000000
45 50 0 1 1955 1956 18578006.000000 18578006.000000 18578006.000000
50 55 0 1 1955 1956 14509889.000000 14509889.000000 14509889.000000
55 60 0 1 1955 1956 12105592.000000 12105592.000000 12105592.000000
60 65 0 1 1955 1956 7995035.000000 7995035.000000 7995035.000000
65 70 0 1 1955 1956 6324404.000000 6324404.000000 6324404.000000
70 120 0 1 1955 1956 6600062.000000 6600062.000000 6600062.000000
0 5 0 1 1956 1957 69360928.000000 69360928.000000 69360928.000000
5 10 0 1 1956 1957 50859980.000000 50859980.000000 50859980.000000
10 15 0 1 1956 1957 43239504.000000 43239504.000000 43239504.000000
15 20 0 1 1956 1957 40597068.000000 40597068.000000 40597068.000000
20 25 0 1 1956 1957 36961728.000000 36961728.000000 36961728.000000
25 30 0 1 1956 1957 32805530.000000 32805530.000000 32805530.000000
30 35 0 1 1956 1957 28757434.000000 28757434.000000 28757434.000000
35 40 0 1 1956 1957 25224216.000000 25224216.000000 25224216.000000
40 45 0 1 1956 1957 21718004.000000 21718004.000000 21718004.000000
45 50 0 1 1956 1957 18789788.000000 18789788.000000 18789788.000000
50 55 0 1 1956 1957 14762033.000000 14762033.000000 14762033.000000
55 60 0 1 1956 1957 12228972.000000 12228972.000000 12228972.000000
60 65 0 1 1956 1957 8250798.000000 8250798.000000 8250798.000000
65 70 0 1 1956 1957 6303866.000000 6303866.000000 6303866.000000
70 120 0 1 1956 1957 6868926.000000 6868926.000000 6868926.000000
0 5 0 1 1957 1958 70736168.000000 70736168.000000 70736168.000000
5 10 0 1 1957 1958 53229024.000000 53229024.000000 53229024.000000
10 15 0 1 1957 1958 43818440.000000 43818440.000000 43818440.000000
15 20 0 1 1957 1958 40732272.000000 40732272.000000 40732272.000000
20 25 0 1 1957 1958 37473852.000000 37473852.000000 37473852.000000
25 30 0 1 1957 1958 33270170.000000 33270170.000000 33270170.000000
30 35 0 1 1957 1958 29179590.000000 29179590.000000 29179590.000000
35 40 0 1 1957 1958 25532908.000000 25532908.000000 25532908.000000
40 45 0 1 1957 1958 22027160.000000 22027160.000000 22027160.000000
45 50 0 1 1957 1958 18980768.000000 18980768.000000 18980768.000000
50 55 0 1 1957 1958 15190898.000000 15190898.000000 15190898.000000
55 60 0 1 1957 1958 12252767.000000 12252767.000000 12252767.000000
60 65 0 1 1957 1958 8697723.000000 8697723.000000 8697723.000000
65 70 0 1 1957 1958 6166811.000000 6166811.000000 6166811.000000
70 120 0 1 1957 1958 7172556.000000 7172556.000000 7172556.000000
0 5 0 1 1958 1959 71352176.000000 71352176.000000 71352176.000000
5 10 0 1 1958 1959 55983248.000000 55983248.000000 55983248.000000
10 15 0 1 1958 1959 44655312.000000 44655312.000000 44655312.000000
15 20 0 1 1958 1959 40921168.000000 40921168.000000 40921168.000000
20 25 0 1 1958 1959 38030372.000000 38030372.000000 38030372.000000
25 30 0 1 1958 1959 33787212.000000 33787212.000000 33787212.000000
30 35 0 1 1958 1959 29671892.000000 29671892.000000 29671892.000000
35 40 0 1 1958 1959 25886232.000000 25886232.000000 25886232.000000
40 45 0 1 1958 1959 22403816.000000 22403816.000000 22403816.000000
45 50 0 1 1958 1959 19161512.000000 19161512.000000 19161512.000000
50 55 0 1 1958 1959 15703655.000000 15703655.000000 15703655.000000
55 60 0 1 1958 1959 12247471.000000 12247471.000000 12247471.000000
60 65 0 1 1958 1959 9218938.000000 9218938.000000 9218938.000000
65 70 0 1 1958 1959 6013695.000000 6013695.000000 6013695.000000
70 120 0 1 1958 1959 7444967.000000 7444967.000000 7444967.000000
0 5 0 1 1959 1960 71882328.000000 71882328.000000 71882328.000000
5 10 0 1 1959 1960 58734408.000000 58734408.000000 58734408.000000
10 15 0 1 1959 1960 45802340.000000 45802340.000000 45802340.000000
15 20 0 1 1959 1960 41187180.000000 41187180.000000 41187180.000000
20 25 0 1 1959 1960 38520284.000000 38520284.000000 38520284.000000
25 30 0 1 1959 1960 34319332.000000 34319332.000000 34319332.000000
30 35 0 1 1959 1960 30185206.000000 30185206.000000 30185206.000000
35 40 0 1 1959 1960 26269080.000000 26269080.000000 26269080.000000
40 45 0 1 1959 1960 22790172.000000 22790172.000000 22790172.000000
45 50 0 1 1959 1960 19369844.000000 19369844.000000 19369844.000000
50 55 0 1 1959 1960 16180820.000000 16180820.000000 16180820.000000
55 60 0 1 1959 1960 12323607.000000 12323607.000000 12323607.000000
60 65 0 1 1959 1960 9662854.000000 9662854.000000 9662854.000000
65 70 0 1 1959 1960 5974252.000000 5974252.000000 5974252.000000
70 120 0 1 1959 1960 7612190.000000 7612190.000000 7612190.000000
0 5 0 1 1960 1961 72844208.000000 72844208.000000 72844208.000000
5 10 0 1 1960 1961 60977412.000000 60977412.000000 60977412.000000
10 15 0 1 1960 1961 47340224.000000 47340224.000000 47340224.000000
15 20 0 1 1960 1961 41577816.000000 41577816.000000 41577816.000000
20 25 0 1 1960 1961 38900736.000000 38900736.000000 38900736.000000
25 30 0 1 1960 1961 34855240.000000 34855240.000000 34855240.000000
30 35 0 1 1960 1961 30698270.000000 30698270.000000 30698270.000000
35 40 0 1 1960 1961 26681258.000000 26681258.000000 26681258.000000
40 45 0 1 1960 1961 23160270.000000 23160270.000000 23160270.000000
45 50 0 1 1960 1961 19632758.000000 19632758.000000 19632758.000000
50 55 0 1 1960 1961 16562597.000000 16562597.000000 16562597.000000
55 60 0 1 1960 1961 12539453.000000 12539453.000000 12539453.000000
60 65 0 1 1960 1961 9959166.000000 9959166.000000 9959166.000000
65 70 0 1 1960 1961 6105001.000000 6105001.000000 6105001.000000
70 120 0 1 1960 1961 7646205.000000 7646205.000000 7646205.000000
0 5 0 1 1961 1962 73467312.000000 73467312.000000 73467312.000000
5 10 0 1 1961 1962 63252948.000000 63252948.000000 63252948.000000
10 15 0 1 1961 1962 49312528.000000 49312528.000000 49312528.000000
15 20 0 1 1961 1962 42057720.000000 42057720.000000 42057720.000000
20 25 0 1 1961 1962 39193236.000000 39193236.000000 39193236.000000
25 30 0 1 1961 1962 35407168.000000 35407168.000000 35407168.000000
30 35 0 1 1961 1962 31206212.000000 31206212.000000 31206212.000000
35 40 0 1 1961 1962 27111604.000000 27111604.000000 27111604.000000
40 45 0 1 1961 1962 23503258.000000 23503258.000000 23503258.000000
45 50 0 1 1961 1962 19914680.000000 19914680.000000 19914680.000000
50 55 0 1 1961 1962 16848222.000000 16848222.000000 16848222.000000
55 60 0 1 1961 1962 12838054.000000 12838054.000000 12838054.000000
60 65 0 1 1961 1962 10112730.000000 10112730.000000 10112730.000000
65 70 0 1 1961 1962 6368320.000000 6368320.000000 6368320.000000
70 120 0 1 1961 1962 7900963.000000 7900963.000000 7900963.000000
0 5 0 1 1962 1963 74683408.000000 74683408.000000 74683408.000000
5 10 0 1 1962 1963 64933016.000000 64933016.000000 64933016.000000
10 15 0 1 1962 1963 51688808.000000 51688808.000000 51688808.000000
15 20 0 1 1962 1963 42608904.000000 42608904.000000 42608904.000000
20 25 0 1 1962 1963 39393724.000000 39393724.000000 39393724.000000
25 30 0 1 1962 1963 35969096.000000 35969096.000000 35969096.000000
30 35 0 1 1962 1963 31701352.000000 31701352.000000 31701352.000000
35 40 0 1 1962 1963 27559628.000000 27559628.000000 27559628.000000
40 45 0 1 1962 1963 23832308.000000 23832308.000000 23832308.000000
45 50 0 1 1962 1963 20234650.000000 20234650.000000 20234650.000000
50 55 0 1 1962 1963 17055136.000000 17055136.000000 17055136.000000
55 60 0 1 1962 1963 13244640.000000 13244640.000000 13244640.000000
60 65 0 1 1962 1963 10151902.000000 10151902.000000 10151902.000000
65 70 0 1 1962 1963 6743888.000000 6743888.000000 6743888.000000
70 120 0 1 1962 1963 8052077.000000 8052077.000000 8052077.000000
0 5 0 1 1963 1964 76366976.000000 76366976.000000 76366976.000000
5 10 0 1 1963 1964 65980632.000000 65980632.000000 65980632.000000
10 15 0 1 1963 1964 54339776.000000 54339776.000000 54339776.000000
15 20 0 1 1963 1964 43355976.000000 43355976.000000 43355976.000000
20 25 0 1 1963 1964 39576564.000000 39576564.000000 39576564.000000
25 30 0 1 1963 1964 36519296.000000 36519296.000000 36519296.000000
30 35 0 1 1963 1964 32203992.000000 32203992.000000 32203992.000000
35 40 0 1 1963 1964 28032432.000000 28032432.000000 28032432.000000
40 45 0 1 1963 1964 24171108.000000 24171108.000000 24171108.000000
45 50 0 1 1963 1964 20588232.000000 20588232.000000 20588232.000000
50 55 0 1 1963 1964 17227956.000000 17227956.000000 17227956.000000
55 60 0 1 1963 1964 13706183.000000 13706183.000000 13706183.000000
60 65 0 1 1963 1964 10161947.000000 10161947.000000 10161947.000000
65 70 0 1 1963 1964 7152842.000000 7152842.000000 7152842.000000
70 120 0 1 1963 1964 8144067.000000 8144067.000000 8144067.000000
0 5 0 1 1964 1965 78126616.000000 78126616.000000 78126616.000000
5 10 0 1 1964 1965 66639960.000000 66639960.000000 66639960.000000
10 15 0 1 1964 1965 56933996.000000 56933996.000000 56933996.000000
15 20 0 1 1964 1965 44493508.000000 44493508.000000 44493508.000000
20 25 0 1 1964 1965 39857784.000000 39857784.000000 39857784.000000
25 30 0 1 1964 1965 37030456.000000 37030456.000000 37030456.000000
30 35 0 1 1964 1965 32750240.000000 32750240.000000 32750240.000000
35 40 0 1 1964 1965 28546034.000000 28546034.000000 28546034.000000
40 45 0 1 1964 1965 24558980.000000 24558980.000000 24558980.000000
45 50 0 1 1964 1965 20968790.000000 20968790.000000 20968790.000000
50 55 0 1 1964 1965 17438600.000000 17438600.000000 17438600.000000
55 60 0 1 1964 1965 14149394.000000 14149394.000000 14149394.000000
60 65 0 1 1964 1965 10256732.000000 10256732.000000 10256732.000000
65 70 0 1 1964 1965 7497294.000000 7497294.000000 7497294.000000
70 120 0 1 1964 1965 8236155.000000 8236155.000000 8236155.000000
0 5 0 1 1965 1966 79720416.000000 79720416.000000 79720416.000000
5 10 0 1 1965 1966 67298256.000000 67298256.000000 67298256.000000
10 15 0 1 1965 1966 59102004.000000 59102004.000000 59102004.000000
15 20 0 1 1965 1966 46118268.000000 46118268.000000 46118268.000000
20 25 0 1 1965 1966 40310276.000000 40310276.000000 40310276.000000
25 30 0 1 1965 1966 37483724.000000 37483724.000000 37483724.000000
30 35 0 1 1965 1966 33350500.000000 33350500.000000 33350500.000000
35 40 0 1 1965 1966 29103316.000000 29103316.000000 29103316.000000
40 45 0 1 1965 1966 25012234.000000 25012234.000000 25012234.000000
45 50 0 1 1965 1966 21368176.000000 21368176.000000 21368176.000000
50 55 0 1 1965 1966 17724932.000000 17724932.000000 17724932.000000
55 60 0 1 1965 1966 14532736.000000 14532736.000000 14532736.000000
60 65 0 1 1965 1966 10488810.000000 10488810.000000 10488810.000000
65 70 0 1 1965 1966 7737086.000000 7737086.000000 7737086.000000
70 120 0 1 1965 1966 8351628.000000 8351628.000000 8351628.000000
0 5 0 1 1966 1967 81637480.000000 81637480.000000 81637480.000000
5 10 0 1 1966 1967 68581280.000000 68581280.000000 68581280.000000
10 15 0 1 1966 1967 60718880.000000 60718880.000000 60718880.000000
15 20 0 1 1966 1967 48014400.000000 48014400.000000 48014400.000000
20 25 0 1 1966 1967 40746920.000000 40746920.000000 40746920.000000
25 30 0 1 1966 1967 37747460.000000 37747460.000000 37747460.000000
30 35 0 1 1966 1967 33872076.000000 33872076.000000 33872076.000000
35 40 0 1 1966 1967 29592664.000000 29592664.000000 29592664.000000
40 45 0 1 1966 1967 25424516.000000 25424516.000000 25424516.000000
45 50 0 1 1966 1967 21694280.000000 21694280.000000 21694280.000000
50 55 0 1 1966 1967 17991252.000000 17991252.000000 17991252.000000
55 60 0 1 1966 1967 14774224.000000 14774224.000000 14774224.000000
60 65 0 1 1966 1967 10749290.000000 10749290.000000 10749290.000000
65 70 0 1 1966 1967 7863478.000000 7863478.000000 7863478.000000
70 120 0 1 1966 1967 8753742.000000 8753742.000000 8753742.000000
0 5 0 1 1967 1968 82979584.000000 82979584.000000 82979584.000000
5 10 0 1 1967 1968 70013344.000000 70013344.000000 70013344.000000
10 15 0 1 1967 1968 62047064.000000 62047064.000000 62047064.000000
15 20 0 1 1967 1968 50439632.000000 50439632.000000 50439632.000000
20 25 0 1 1967 1968 41323580.000000 41323580.000000 41323580.000000
25 30 0 1 1967 1968 37995948.000000 37995948.000000 37995948.000000
30 35 0 1 1967 1968 34471576.000000 34471576.000000 34471576.000000
35 40 0 1 1967 1968 30130450.000000 30130450.000000 30130450.000000
40 45 0 1 1967 1968 25909092.000000 25909092.000000 25909092.000000
45 50 0 1 1967 1968 22056968.000000 22056968.000000 22056968.000000
50 55 0 1 1967 1968 18334036.000000 18334036.000000 18334036.000000
55 60 0 1 1967 1968 14987518.000000 14987518.000000 14987518.000000
60 65 0 1 1967 1968 11120296.000000 11120296.000000 11120296.000000
65 70 0 1 1967 1968 7914757.000000 7914757.000000 7914757.000000
70 120 0 1 1967 1968 9165936.000000 9165936.000000 9165936.000000
0 5 0 1 1968 1969 83955432.000000 83955432.000000 83955432.000000
5 10 0 1 1968 1969 71533552.000000 71533552.000000 71533552.000000
10 15 0 1 1968 1969 63191232.000000 63191232.000000 63191232.000000
15 20 0 1 1968 1969 53138320.000000 53138320.000000 53138320.000000
20 25 0 1 1968 1969 42140848.000000 42140848.000000 42140848.000000
25 30 0 1 1968 1969 38273472.000000 38273472.000000 38273472.000000
30 35 0 1 1968 1969 35105044.000000 35105044.000000 35105044.000000
35 40 0 1 1968 1969 30712944.000000 30712944.000000 30712944.000000
40 45 0 1 1968 1969 26455224.000000 26455224.000000 26455224.000000
45 50 0 1 1968 1969 22463464.000000 22463464.000000 22463464.000000
50 55 0 1 1968 1969 18733170.000000 18733170.000000 18733170.000000
55 60 0 1 1968 1969 15204923.000000 15204923.000000 15204923.000000
60 65 0 1 1968 1969 11552588.000000 11552588.000000 11552588.000000
65 70 0 1 1968 1969 7955354.000000 7955354.000000 7955354.000000
70 120 0 1 1968 1969 9551747.000000 9551747.000000 9551747.000000
0 5 0 1 1969 1970 84966040.000000 84966040.000000 84966040.000000
5 10 0 1 1969 1970 72996680.000000 72996680.000000 72996680.000000
10 15 0 1 1969 1970 64328976.000000 64328976.000000 64328976.000000
15 20 0 1 1969 1970 55708504.000000 55708504.000000 55708504.000000
20 25 0 1 1969 1970 43342192.000000 43342192.000000 43342192.000000
25 30 0 1 1969 1970 38640300.000000 38640300.000000 38640300.000000
30 35 0 1 1969 1970 35697768.000000 35697768.000000 35697768.000000
35 40 0 1 1969 1970 31332874.000000 31332874.000000 31332874.000000
40 45 0 1 1969 1970 27041996.000000 27041996.000000 27041996.000000
45 50 0 1 1969 1970 22919498.000000 22919498.000000 22919498.000000
50 55 0 1 1969 1970 19158144.000000 19158144.000000 19158144.000000
55 60 0 1 1969 1970 15467986.000000 15467986.000000 15467986.000000
60 65 0 1 1969 1970 11973154.000000 11973154.000000 11973154.000000
65 70 0 1 1969 1970 8064823.000000 8064823.000000 8064823.000000
70 120 0 1 1969 1970 9866141.000000 9866141.000000 9866141.000000
0 5 0 1 1970 1971 86345912.000000 86345912.000000 86345912.000000
5 10 0 1 1970 1971 74217448.000000 74217448.000000 74217448.000000
10 15 0 1 1970 1971 65564648.000000 65564648.000000 65564648.000000
15 20 0 1 1970 1971 57908448.000000 57908448.000000 57908448.000000
20 25 0 1 1970 1971 45004412.000000 45004412.000000 45004412.000000
25 30 0 1 1970 1971 39146940.000000 39146940.000000 39146940.000000
30 35 0 1 1970 1971 36211176.000000 36211176.000000 36211176.000000
35 40 0 1 1970 1971 31985644.000000 31985644.000000 31985644.000000
40 45 0 1 1970 1971 27656536.000000 27656536.000000 27656536.000000
45 50 0 1 1970 1971 23427828.000000 23427828.000000 23427828.000000
50 55 0 1 1970 1971 19594980.000000 19594980.000000 19594980.000000
55 60 0 1 1970 1971 15797551.000000 15797551.000000 15797551.000000
60 65 0 1 1970 1971 12345340.000000 12345340.000000 12345340.000000
65 70 0 1 1970 1971 8281155.000000 8281155.000000 8281155.000000
70 120 0 1 1970 1971 10090496.000000 10090496.000000 10090496.000000
0 5 0 1 1971 1972 88010984.000000 88010984.000000 88010984.000000
5 10 0 1 1971 1972 75827952.000000 75827952.000000 75827952.000000
10 15 0 1 1971 1972 66852224.000000 66852224.000000 66852224.000000
15 20 0 1 1971 1972 59659052.000000 59659052.000000 59659052.000000
20 25 0 1 1971 1972 47038200.000000 47038200.000000 47038200.000000
25 30 0 1 1971 1972 39731372.000000 39731372.000000 39731372.000000
30 35 0 1 1971 1972 36608680.000000 36608680.000000 36608680.000000
35 40 0 1 1971 1972 32618632.000000 32618632.000000 32618632.000000
40 45 0 1 1971 1972 28234324.000000 28234324.000000 28234324.000000
45 50 0 1 1971 1972 23914562.000000 23914562.000000 23914562.000000
50 55 0 1 1971 1972 19977448.000000 19977448.000000 19977448.000000
55 60 0 1 1971 1972 16088085.000000 16088085.000000 16088085.000000
60 65 0 1 1971 1972 12596929.000000 12596929.000000 12596929.000000
