Year Inc Inc_lo Inc_hi Source_inc Mort Mort_lo Mort_hi Source_mort
2000 2890.000000 1490.000000 4730.000000 Prevalence 630.000000 590.000000 680.000000 VA
2001 2880.000000 1490.000000 4720.000000 Prevalence 680.000000 560.000000 810.000000 VA
2002 2870.000000 1490.000000 4700.000000 Prevalence 630.000000 540.000000 710.000000 VA
2003 2850.000000 1480.000000 4670.000000 Prevalence 610.000000 520.000000 710.000000 VA
2004 2820.000000 1460.000000 4630.000000 Prevalence 580.000000 500.000000 670.000000 VA
2005 2790.000000 1440.000000 4560.000000 Prevalence 560.000000 480.000000 650.000000 VA
2006 2740.000000 1420.000000 4480.000000 Prevalence 540.000000 470.000000 620.000000 VA
2007 2680.000000 1390.000000 4390.000000 Prevalence 530.000000 480.000000 570.000000 VA
2008 2610.000000 1350.000000 4280.000000 Prevalence 500.000000 430.000000 570.000000 VA
2009 2540.000000 1320.000000 4170.000000 Prevalence 480.000000 420.000000 540.000000 VA
2010 2470.000000 1280.000000 4050.000000 Prevalence 450.000000 390.000000 510.000000 VA
2011 2410.000000 1250.000000 3940.000000 Prevalence 440.000000 380.000000 500.000000 VA
2012 2340.000000 1210.000000 3840.000000 Prevalence 430.000000 370.000000 480.000000 VA
2013 2280.000000 1180.000000 3740.000000 Prevalence 400.000000 380.000000 430.000000 VA
2014 2230.000000 1360.000000 3320.000000 Prevalence 370.000000 350.000000 400.000000 VA
2015 2170.000000 1370.000000 3150.000000 Prevalence 360.000000 340.000000 380.000000 VA
2016 2110.000000 1400.000000 2950.000000 Prevalence 350.000000 320.000000 370.000000 VA
2017 2040.000000 1400.000000 2810.000000 Prevalence 340.000000 320.000000 360.000000 VA
2018 1990.000000 1360.000000 2730.000000 Prevalence 330.000000 310.000000 360.000000 VA
