entries = 23
description index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval
mu 	 0 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
b 	 1 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
zeta 	 2 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
chi_i+ 	 3 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
chi_i- 	 4 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
chi_n 	 5 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
<<k>>beta(0)	 6 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
alfa 	 7 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
alfa_chi 	 8 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
p	9 	 0 	 5 	 0 	 3 	 0.187 	 0.1474 	 0.2333
p	9 	 6 	 10 	 0 	 3 	 0.0225 	 0.02 	 0.025
p	9 	 11 	 120 	 0 	 3 	 0.15	 0.10 	 0.20
p_SP	10	0	15	0	3	0.1	0.085 0.115
p_SP	10	16	120	0	3	0.5	0.425 0.575
p_NP	11	0	15	0	3	0.25	0.2125 0.2875
p_NP	11	16	120	0	3	0.1	0.085 0.115
pf_SP	12 	 0 	 120 	 0 	 3	0.020652	0.020503	0.020800
pdef_SP	13 	 0 	 120 	 0 	 3	0.059716	0.059478	0.059955
pdeath_SP	14 	 0 	 120 	 0 	 3	0.044843	0.044632	0.045054
pf_SN	15 	 0 	 120 	 0 	 3	0.004192	0.004124	0.004261
pdef_SN	16 	 0 	 120 	 0 	 3	0.061100	0.060861	0.061340
pdeath_SN	17 	 0 	 120 	 0 	 3	0.031122	0.030943	0.031301
eta	18	0	120	0	3	0.796875	0.627832	0.965918
