entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
0 5 0 1 1950 1951 9960841.000000 9960841.000000 9960841.000000
5 10 0 1 1950 1951 8844570.000000 8844570.000000 8844570.000000
10 15 0 1 1950 1951 8435468.000000 8435468.000000 8435468.000000
15 20 0 1 1950 1951 7504295.000000 7504295.000000 7504295.000000
20 25 0 1 1950 1951 6433399.000000 6433399.000000 6433399.000000
25 30 0 1 1950 1951 5181251.000000 5181251.000000 5181251.000000
30 35 0 1 1950 1951 4418315.000000 4418315.000000 4418315.000000
35 40 0 1 1950 1951 4083694.000000 4083694.000000 4083694.000000
40 45 0 1 1950 1951 3511965.000000 3511965.000000 3511965.000000
45 50 0 1 1950 1951 2774282.000000 2774282.000000 2774282.000000
50 55 0 1 1950 1951 2170898.000000 2170898.000000 2170898.000000
55 60 0 1 1950 1951 1893903.000000 1893903.000000 1893903.000000
60 65 0 1 1950 1951 1576435.000000 1576435.000000 1576435.000000
65 70 0 1 1950 1951 1214106.000000 1214106.000000 1214106.000000
70 120 0 1 1950 1951 1539894.000000 1539894.000000 1539894.000000
0 5 0 1 1951 1952 10248315.000000 10248315.000000 10248315.000000
5 10 0 1 1951 1952 8898458.000000 8898458.000000 8898458.000000
10 15 0 1 1951 1952 8501882.000000 8501882.000000 8501882.000000
15 20 0 1 1951 1952 7662941.000000 7662941.000000 7662941.000000
20 25 0 1 1951 1952 6614338.000000 6614338.000000 6614338.000000
25 30 0 1 1951 1952 5356017.000000 5356017.000000 5356017.000000
30 35 0 1 1951 1952 4481597.000000 4481597.000000 4481597.000000
35 40 0 1 1951 1952 4113876.000000 4113876.000000 4113876.000000
40 45 0 1 1951 1952 3604960.000000 3604960.000000 3604960.000000
45 50 0 1 1951 1952 2879855.000000 2879855.000000 2879855.000000
50 55 0 1 1951 1952 2223722.000000 2223722.000000 2223722.000000
55 60 0 1 1951 1952 1895446.000000 1895446.000000 1895446.000000
60 65 0 1 1951 1952 1583878.000000 1583878.000000 1583878.000000
65 70 0 1 1951 1952 1221401.000000 1221401.000000 1221401.000000
70 120 0 1 1951 1952 1582923.000000 1582923.000000 1582923.000000
0 5 0 1 1952 1953 10613476.000000 10613476.000000 10613476.000000
5 10 0 1 1952 1953 8940482.000000 8940482.000000 8940482.000000
10 15 0 1 1952 1953 8552859.000000 8552859.000000 8552859.000000
15 20 0 1 1952 1953 7835091.000000 7835091.000000 7835091.000000
20 25 0 1 1952 1953 6784971.000000 6784971.000000 6784971.000000
25 30 0 1 1952 1953 5557871.000000 5557871.000000 5557871.000000
30 35 0 1 1952 1953 4568048.000000 4568048.000000 4568048.000000
35 40 0 1 1952 1953 4132035.000000 4132035.000000 4132035.000000
40 45 0 1 1952 1953 3693877.000000 3693877.000000 3693877.000000
45 50 0 1 1952 1953 2993032.000000 2993032.000000 2993032.000000
50 55 0 1 1952 1953 2296878.000000 2296878.000000 2296878.000000
