entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
0 5 0 1 1950 1951 1056233.000000 1056233.000000 1056233.000000
5 10 0 1 1950 1951 706742.000000 706742.000000 706742.000000
10 15 0 1 1950 1951 653781.000000 653781.000000 653781.000000
15 20 0 1 1950 1951 623128.000000 623128.000000 623128.000000
20 25 0 1 1950 1951 526419.000000 526419.000000 526419.000000
25 30 0 1 1950 1951 438246.000000 438246.000000 438246.000000
30 35 0 1 1950 1951 378882.000000 378882.000000 378882.000000
35 40 0 1 1950 1951 334843.000000 334843.000000 334843.000000
40 45 0 1 1950 1951 300312.000000 300312.000000 300312.000000
45 50 0 1 1950 1951 262967.000000 262967.000000 262967.000000
50 55 0 1 1950 1951 226204.000000 226204.000000 226204.000000
55 60 0 1 1950 1951 184300.000000 184300.000000 184300.000000
60 65 0 1 1950 1951 146179.000000 146179.000000 146179.000000
65 70 0 1 1950 1951 107865.000000 107865.000000 107865.000000
70 120 0 1 1950 1951 130657.000000 130657.000000 130657.000000
0 5 0 1 1951 1952 1135996.000000 1135996.000000 1135996.000000
5 10 0 1 1951 1952 736433.000000 736433.000000 736433.000000
10 15 0 1 1951 1952 650918.000000 650918.000000 650918.000000
15 20 0 1 1951 1952 628274.000000 628274.000000 628274.000000
20 25 0 1 1951 1952 541239.000000 541239.000000 541239.000000
25 30 0 1 1951 1952 448513.000000 448513.000000 448513.000000
30 35 0 1 1951 1952 384317.000000 384317.000000 384317.000000
35 40 0 1 1951 1952 337906.000000 337906.000000 337906.000000
40 45 0 1 1951 1952 302490.000000 302490.000000 302490.000000
45 50 0 1 1951 1952 265625.000000 265625.000000 265625.000000
50 55 0 1 1951 1952 228927.000000 228927.000000 228927.000000
55 60 0 1 1951 1952 187172.000000 187172.000000 187172.000000
60 65 0 1 1951 1952 147888.000000 147888.000000 147888.000000
65 70 0 1 1951 1952 109561.000000 109561.000000 109561.000000
70 120 0 1 1951 1952 134904.000000 134904.000000 134904.000000
0 5 0 1 1952 1953 1201255.000000 1201255.000000 1201255.000000
