entries = 23
description index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval
mu 	 0 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
b 	 1 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
zeta 	 2 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
chi_i+ 	 3 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
chi_i- 	 4 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
chi_n 	 5 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
<<k>>beta(0)	 6 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
alfa 	 7 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
alfa_chi 	 8 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
p	9 	 0 	 5 	 0 	 3 	 0.187 	 0.1474 	 0.2333
p	9 	 6 	 10 	 0 	 3 	 0.0225 	 0.02 	 0.025
p	9 	 11 	 120 	 0 	 3 	 0.15	 0.10 	 0.20
p_SP	10	0	15	0	3	0.1	0.085 0.115
p_SP	10	16	120	0	3	0.5	0.425 0.575
p_NP	11	0	15	0	3	0.25	0.2125 0.2875
p_NP	11	16	120	0	3	0.1	0.085 0.115
pf_SP	12 	 0 	 120 	 0 	 3	0.006517 0.006157 0.006877
pdef_SP	13 	 0 	 120 	 0 	 3	0.069430 0.068360 0.070499
pdeath_SP	14 	 0 	 120 	 0 	 3	0.041708 0.040842 0.042572
pf_SN	15 	 0 	 120 	 0 	 3	0.000000 0.000000 0.000000
pdef_SN	16 	 0 	 120 	 0 	 3	0.073886 0.073040 0.074732
pdeath_SN	17 	 0 	 120 	 0 	 3	0.062680 0.061887 0.063473
eta	18	0	120	0	3	0.843137	0.664281	1.021994
