entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
0 5 0 1 1950 1951 2023750.000000 2023750.000000 2023750.000000
5 10 0 1 1950 1951 1704000.000000 1704000.000000 1704000.000000
10 15 0 1 1950 1951 1485000.000000 1485000.000000 1485000.000000
15 20 0 1 1950 1951 1336250.000000 1336250.000000 1336250.000000
20 25 0 1 1950 1951 1199885.000000 1199885.000000 1199885.000000
25 30 0 1 1950 1951 1051999.000000 1051999.000000 1051999.000000
30 35 0 1 1950 1951 962001.000000 962001.000000 962001.000000
35 40 0 1 1950 1951 825000.000000 825000.000000 825000.000000
40 45 0 1 1950 1951 714999.000000 714999.000000 714999.000000
45 50 0 1 1950 1951 566000.000000 566000.000000 566000.000000
50 55 0 1 1950 1951 488000.000000 488000.000000 488000.000000
55 60 0 1 1950 1951 393000.000000 393000.000000 393000.000000
60 65 0 1 1950 1951 323001.000000 323001.000000 323001.000000
65 70 0 1 1950 1951 227999.000000 227999.000000 227999.000000
70 120 0 1 1950 1951 327544.000000 327544.000000 327544.000000
0 5 0 1 1951 1952 2119612.000000 2119612.000000 2119612.000000
5 10 0 1 1951 1952 1749684.000000 1749684.000000 1749684.000000
10 15 0 1 1951 1952 1516813.000000 1516813.000000 1516813.000000
15 20 0 1 1951 1952 1356808.000000 1356808.000000 1356808.000000
20 25 0 1 1951 1952 1221030.000000 1221030.000000 1221030.000000
25 30 0 1 1951 1952 1069682.000000 1069682.000000 1069682.000000
30 35 0 1 1951 1952 974654.000000 974654.000000 974654.000000
35 40 0 1 1951 1952 843178.000000 843178.000000 843178.000000
40 45 0 1 1951 1952 731852.000000 731852.000000 731852.000000
45 50 0 1 1951 1952 583214.000000 583214.000000 583214.000000
50 55 0 1 1951 1952 494379.000000 494379.000000 494379.000000
55 60 0 1 1951 1952 400251.000000 400251.000000 400251.000000
60 65 0 1 1951 1952 326832.000000 326832.000000 326832.000000
65 70 0 1 1951 1952 233738.000000 233738.000000 233738.000000
70 120 0 1 1951 1952 332116.000000 332116.000000 332116.000000
0 5 0 1 1952 1953 2247957.000000 2247957.000000 2247957.000000
5 10 0 1 1952 1953 1787170.000000 1787170.000000 1787170.000000
10 15 0 1 1952 1953 1550653.000000 1550653.000000 1550653.000000
15 20 0 1 1952 1953 1375443.000000 1375443.000000 1375443.000000
20 25 0 1 1952 1953 1238619.000000 1238619.000000 1238619.000000
25 30 0 1 1952 1953 1089202.000000 1089202.000000 1089202.000000
30 35 0 1 1952 1953 981633.000000 981633.000000 981633.000000
35 40 0 1 1952 1953 862526.000000 862526.000000 862526.000000
40 45 0 1 1952 1953 743616.000000 743616.000000 743616.000000
45 50 0 1 1952 1953 604242.000000 604242.000000 604242.000000
50 55 0 1 1952 1953 497871.000000 497871.000000 497871.000000
55 60 0 1 1952 1953 409398.000000 409398.000000 409398.000000
60 65 0 1 1952 1953 328430.000000 328430.000000 328430.000000
65 70 0 1 1952 1953 240948.000000 240948.000000 240948.000000
70 120 0 1 1952 1953 333707.000000 333707.000000 333707.000000
0 5 0 1 1953 1954 2369943.000000 2369943.000000 2369943.000000
5 10 0 1 1953 1954 1821864.000000 1821864.000000 1821864.000000
10 15 0 1 1953 1954 1591006.000000 1591006.000000 1591006.000000
15 20 0 1 1953 1954 1397345.000000 1397345.000000 1397345.000000
20 25 0 1 1953 1954 1257109.000000 1257109.000000 1257109.000000
25 30 0 1 1953 1954 1112441.000000 1112441.000000 1112441.000000
30 35 0 1 1953 1954 988411.000000 988411.000000 988411.000000
35 40 0 1 1953 1954 883895.000000 883895.000000 883895.000000
40 45 0 1 1953 1954 754509.000000 754509.000000 754509.000000
45 50 0 1 1953 1954 628510.000000 628510.000000 628510.000000
50 55 0 1 1953 1954 502153.000000 502153.000000 502153.000000
55 60 0 1 1953 1954 420405.000000 420405.000000 420405.000000
60 65 0 1 1953 1954 330203.000000 330203.000000 330203.000000
65 70 0 1 1953 1954 249181.000000 249181.000000 249181.000000
70 120 0 1 1953 1954 334042.000000 334042.000000 334042.000000
0 5 0 1 1954 1955 2473748.000000 2473748.000000 2473748.000000
5 10 0 1 1954 1955 1860170.000000 1860170.000000 1860170.000000
10 15 0 1 1954 1955 1634869.000000 1634869.000000 1634869.000000
15 20 0 1 1954 1955 1424868.000000 1424868.000000 1424868.000000
20 25 0 1 1954 1955 1278348.000000 1278348.000000 1278348.000000
25 30 0 1 1954 1955 1137725.000000 1137725.000000 1137725.000000
30 35 0 1 1954 1955 999296.000000 999296.000000 999296.000000
35 40 0 1 1954 1955 904965.000000 904965.000000 904965.000000
40 45 0 1 1954 1955 768152.000000 768152.000000 768152.000000
45 50 0 1 1954 1955 652771.000000 652771.000000 652771.000000
50 55 0 1 1954 1955 510770.000000 510770.000000 510770.000000
55 60 0 1 1954 1955 431581.000000 431581.000000 431581.000000
60 65 0 1 1954 1955 334258.000000 334258.000000 334258.000000
65 70 0 1 1954 1955 257028.000000 257028.000000 257028.000000
70 120 0 1 1954 1955 334180.000000 334180.000000 334180.000000
0 5 0 1 1955 1956 2563292.000000 2563292.000000 2563292.000000
5 10 0 1 1955 1956 1909630.000000 1909630.000000 1909630.000000
10 15 0 1 1955 1956 1675588.000000 1675588.000000 1675588.000000
15 20 0 1 1955 1956 1458074.000000 1458074.000000 1458074.000000
20 25 0 1 1955 1956 1302200.000000 1302200.000000 1302200.000000
25 30 0 1 1955 1956 1162834.000000 1162834.000000 1162834.000000
30 35 0 1 1955 1956 1015671.000000 1015671.000000 1015671.000000
35 40 0 1 1955 1956 923440.000000 923440.000000 923440.000000
40 45 0 1 1955 1956 785780.000000 785780.000000 785780.000000
45 50 0 1 1955 1956 674405.000000 674405.000000 674405.000000
50 55 0 1 1955 1956 525108.000000 525108.000000 525108.000000
55 60 0 1 1955 1956 441596.000000 441596.000000 441596.000000
60 65 0 1 1955 1956 341320.000000 341320.000000 341320.000000
65 70 0 1 1955 1956 263634.000000 263634.000000 263634.000000
70 120 0 1 1955 1956 334257.000000 334257.000000 334257.000000
0 5 0 1 1956 1957 2691111.000000 2691111.000000 2691111.000000
5 10 0 1 1956 1957 1983251.000000 1983251.000000 1983251.000000
10 15 0 1 1956 1957 1703409.000000 1703409.000000 1703409.000000
15 20 0 1 1956 1957 1486719.000000 1486719.000000 1486719.000000
20 25 0 1 1956 1957 1319691.000000 1319691.000000 1319691.000000
25 30 0 1 1956 1957 1181019.000000 1181019.000000 1181019.000000
30 35 0 1 1956 1957 1030471.000000 1030471.000000 1030471.000000
35 40 0 1 1956 1957 933641.000000 933641.000000 933641.000000
40 45 0 1 1956 1957 801529.000000 801529.000000 801529.000000
45 50 0 1 1956 1957 688626.000000 688626.000000 688626.000000
50 55 0 1 1956 1957 540010.000000 540010.000000 540010.000000
55 60 0 1 1956 1957 446258.000000 446258.000000 446258.000000
60 65 0 1 1956 1957 347147.000000 347147.000000 347147.000000
65 70 0 1 1956 1957 266313.000000 266313.000000 266313.000000
70 120 0 1 1956 1957 344627.000000 344627.000000 344627.000000
0 5 0 1 1957 1958 2762655.000000 2762655.000000 2762655.000000
5 10 0 1 1957 1958 2084593.000000 2084593.000000 2084593.000000
10 15 0 1 1957 1958 1734404.000000 1734404.000000 1734404.000000
15 20 0 1 1957 1958 1525657.000000 1525657.000000 1525657.000000
20 25 0 1 1957 1958 1341895.000000 1341895.000000 1341895.000000
25 30 0 1 1957 1958 1201988.000000 1201988.000000 1201988.000000
30 35 0 1 1957 1958 1052601.000000 1052601.000000 1052601.000000
35 40 0 1 1957 1958 943414.000000 943414.000000 943414.000000
40 45 0 1 1957 1958 822760.000000 822760.000000 822760.000000
45 50 0 1 1957 1958 701886.000000 701886.000000 701886.000000
50 55 0 1 1957 1958 561464.000000 561464.000000 561464.000000
55 60 0 1 1957 1958 450786.000000 450786.000000 450786.000000
60 65 0 1 1957 1958 356548.000000 356548.000000 356548.000000
65 70 0 1 1957 1958 268581.000000 268581.000000 268581.000000
70 120 0 1 1957 1958 355181.000000 355181.000000 355181.000000
0 5 0 1 1958 1959 2803482.000000 2803482.000000 2803482.000000
5 10 0 1 1958 1959 2206949.000000 2206949.000000 2206949.000000
10 15 0 1 1958 1959 1769488.000000 1769488.000000 1769488.000000
15 20 0 1 1958 1959 1569459.000000 1569459.000000 1569459.000000
20 25 0 1 1958 1959 1367320.000000 1367320.000000 1367320.000000
25 30 0 1 1958 1959 1223955.000000 1223955.000000 1223955.000000
30 35 0 1 1958 1959 1078675.000000 1078675.000000 1078675.000000
35 40 0 1 1958 1959 953188.000000 953188.000000 953188.000000
40 45 0 1 1958 1959 846140.000000 846140.000000 846140.000000
45 50 0 1 1958 1959 714697.000000 714697.000000 714697.000000
50 55 0 1 1958 1959 586181.000000 586181.000000 586181.000000
55 60 0 1 1958 1959 456304.000000 456304.000000 456304.000000
60 65 0 1 1958 1959 367703.000000 367703.000000 367703.000000
65 70 0 1 1958 1959 271141.000000 271141.000000 271141.000000
70 120 0 1 1958 1959 364795.000000 364795.000000 364795.000000
0 5 0 1 1959 1960 2840425.000000 2840425.000000 2840425.000000
5 10 0 1 1959 1960 2333794.000000 2333794.000000 2333794.000000
10 15 0 1 1959 1960 1816113.000000 1816113.000000 1816113.000000
15 20 0 1 1959 1960 1611642.000000 1611642.000000 1611642.000000
20 25 0 1 1959 1960 1395395.000000 1395395.000000 1395395.000000
25 30 0 1 1959 1960 1245938.000000 1245938.000000 1245938.000000
30 35 0 1 1959 1960 1104644.000000 1104644.000000 1104644.000000
35 40 0 1 1959 1960 964987.000000 964987.000000 964987.000000
40 45 0 1 1959 1960 867520.000000 867520.000000 867520.000000
45 50 0 1 1959 1960 728870.000000 728870.000000 728870.000000
50 55 0 1 1959 1960 609796.000000 609796.000000 609796.000000
55 60 0 1 1959 1960 465094.000000 465094.000000 465094.000000
60 65 0 1 1959 1960 378296.000000 378296.000000 378296.000000
65 70 0 1 1959 1960 275187.000000 275187.000000 275187.000000
70 120 0 1 1959 1960 372288.000000 372288.000000 372288.000000
0 5 0 1 1960 1961 2893778.000000 2893778.000000 2893778.000000
