entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
0 5 0 1 1950 1951 423045.000000 423045.000000 423045.000000
5 10 0 1 1950 1951 331123.000000 331123.000000 331123.000000
10 15 0 1 1950 1951 279747.000000 279747.000000 279747.000000
15 20 0 1 1950 1951 238582.000000 238582.000000 238582.000000
20 25 0 1 1950 1951 202965.000000 202965.000000 202965.000000
25 30 0 1 1950 1951 172588.000000 172588.000000 172588.000000
30 35 0 1 1950 1951 145178.000000 145178.000000 145178.000000
35 40 0 1 1950 1951 121888.000000 121888.000000 121888.000000
40 45 0 1 1950 1951 100650.000000 100650.000000 100650.000000
45 50 0 1 1950 1951 81557.000000 81557.000000 81557.000000
50 55 0 1 1950 1951 64758.000000 64758.000000 64758.000000
55 60 0 1 1950 1951 46765.000000 46765.000000 46765.000000
60 65 0 1 1950 1951 37951.000000 37951.000000 37951.000000
65 70 0 1 1950 1951 28734.000000 28734.000000 28734.000000
70 120 0 1 1950 1951 34911.000000 34911.000000 34911.000000
0 5 0 1 1951 1952 434014.000000 434014.000000 434014.000000
5 10 0 1 1951 1952 341052.000000 341052.000000 341052.000000
10 15 0 1 1951 1952 286151.000000 286151.000000 286151.000000
15 20 0 1 1951 1952 243964.000000 243964.000000 243964.000000
20 25 0 1 1951 1952 207340.000000 207340.000000 207340.000000
25 30 0 1 1951 1952 176285.000000 176285.000000 176285.000000
30 35 0 1 1951 1952 148405.000000 148405.000000 148405.000000
35 40 0 1 1951 1952 124544.000000 124544.000000 124544.000000
40 45 0 1 1951 1952 103078.000000 103078.000000 103078.000000
45 50 0 1 1951 1952 83615.000000 83615.000000 83615.000000
50 55 0 1 1951 1952 66773.000000 66773.000000 66773.000000
55 60 0 1 1951 1952 48324.000000 48324.000000 48324.000000
60 65 0 1 1951 1952 38003.000000 38003.000000 38003.000000
65 70 0 1 1951 1952 28974.000000 28974.000000 28974.000000
70 120 0 1 1951 1952 36106.000000 36106.000000 36106.000000
0 5 0 1 1952 1953 443556.000000 443556.000000 443556.000000
5 10 0 1 1952 1953 351648.000000 351648.000000 351648.000000
10 15 0 1 1952 1953 293714.000000 293714.000000 293714.000000
15 20 0 1 1952 1953 250380.000000 250380.000000 250380.000000
20 25 0 1 1952 1953 212532.000000 212532.000000 212532.000000
25 30 0 1 1952 1953 180505.000000 180505.000000 180505.000000
30 35 0 1 1952 1953 152219.000000 152219.000000 152219.000000
35 40 0 1 1952 1953 127582.000000 127582.000000 127582.000000
40 45 0 1 1952 1953 105852.000000 105852.000000 105852.000000
45 50 0 1 1952 1953 86019.000000 86019.000000 86019.000000
50 55 0 1 1952 1953 68787.000000 68787.000000 68787.000000
55 60 0 1 1952 1953 50575.000000 50575.000000 50575.000000
60 65 0 1 1952 1953 38110.000000 38110.000000 38110.000000
65 70 0 1 1952 1953 29358.000000 29358.000000 29358.000000
70 120 0 1 1952 1953 37154.000000 37154.000000 37154.000000
0 5 0 1 1953 1954 454362.000000 454362.000000 454362.000000
5 10 0 1 1953 1954 361829.000000 361829.000000 361829.000000
10 15 0 1 1953 1954 302037.000000 302037.000000 302037.000000
15 20 0 1 1953 1954 257335.000000 257335.000000 257335.000000
20 25 0 1 1953 1954 218190.000000 218190.000000 218190.000000
25 30 0 1 1953 1954 184993.000000 184993.000000 184993.000000
30 35 0 1 1953 1954 156331.000000 156331.000000 156331.000000
35 40 0 1 1953 1954 130834.000000 130834.000000 130834.000000
40 45 0 1 1953 1954 108791.000000 108791.000000 108791.000000
45 50 0 1 1953 1954 88606.000000 88606.000000 88606.000000
50 55 0 1 1953 1954 70796.000000 70796.000000 70796.000000
55 60 0 1 1953 1954 53205.000000 53205.000000 53205.000000
60 65 0 1 1953 1954 38402.000000 38402.000000 38402.000000
65 70 0 1 1953 1954 29811.000000 29811.000000 29811.000000
70 120 0 1 1953 1954 37991.000000 37991.000000 37991.000000
0 5 0 1 1954 1955 467475.000000 467475.000000 467475.000000
5 10 0 1 1954 1955 371034.000000 371034.000000 371034.000000
10 15 0 1 1954 1955 310730.000000 310730.000000 310730.000000
15 20 0 1 1954 1955 264590.000000 264590.000000 264590.000000
20 25 0 1 1954 1955 224180.000000 224180.000000 224180.000000
25 30 0 1 1954 1955 189729.000000 189729.000000 189729.000000
30 35 0 1 1954 1955 160587.000000 160587.000000 160587.000000
35 40 0 1 1954 1955 134286.000000 134286.000000 134286.000000
40 45 0 1 1954 1955 111822.000000 111822.000000 111822.000000
45 50 0 1 1954 1955 91295.000000 91295.000000 91295.000000
50 55 0 1 1954 1955 72912.000000 72912.000000 72912.000000
55 60 0 1 1954 1955 55845.000000 55845.000000 55845.000000
60 65 0 1 1954 1955 39137.000000 39137.000000 39137.000000
65 70 0 1 1954 1955 30265.000000 30265.000000 30265.000000
70 120 0 1 1954 1955 38596.000000 38596.000000 38596.000000
0 5 0 1 1955 1956 483341.000000 483341.000000 483341.000000
5 10 0 1 1955 1956 378965.000000 378965.000000 378965.000000
10 15 0 1 1955 1956 319221.000000 319221.000000 319221.000000
15 20 0 1 1955 1956 272124.000000 272124.000000 272124.000000
20 25 0 1 1955 1956 230511.000000 230511.000000 230511.000000
25 30 0 1 1955 1956 194767.000000 194767.000000 194767.000000
30 35 0 1 1955 1956 164931.000000 164931.000000 164931.000000
35 40 0 1 1955 1956 137955.000000 137955.000000 137955.000000
40 45 0 1 1955 1956 114933.000000 114933.000000 114933.000000
45 50 0 1 1955 1956 94063.000000 94063.000000 94063.000000
50 55 0 1 1955 1956 75214.000000 75214.000000 75214.000000
55 60 0 1 1955 1956 58306.000000 58306.000000 58306.000000
60 65 0 1 1955 1956 40453.000000 40453.000000 40453.000000
65 70 0 1 1955 1956 30701.000000 30701.000000 30701.000000
70 120 0 1 1955 1956 38979.000000 38979.000000 38979.000000
0 5 0 1 1956 1957 500994.000000 500994.000000 500994.000000
5 10 0 1 1956 1957 391257.000000 391257.000000 391257.000000
10 15 0 1 1956 1957 327370.000000 327370.000000 327370.000000
15 20 0 1 1956 1957 278902.000000 278902.000000 278902.000000
20 25 0 1 1956 1957 236280.000000 236280.000000 236280.000000
25 30 0 1 1956 1957 199468.000000 199468.000000 199468.000000
30 35 0 1 1956 1957 168828.000000 168828.000000 168828.000000
35 40 0 1 1956 1957 141348.000000 141348.000000 141348.000000
40 45 0 1 1956 1957 117733.000000 117733.000000 117733.000000
45 50 0 1 1956 1957 96552.000000 96552.000000 96552.000000
50 55 0 1 1956 1957 77279.000000 77279.000000 77279.000000
55 60 0 1 1956 1957 60250.000000 60250.000000 60250.000000
60 65 0 1 1956 1957 41945.000000 41945.000000 41945.000000
65 70 0 1 1956 1957 30849.000000 30849.000000 30849.000000
70 120 0 1 1956 1957 40304.000000 40304.000000 40304.000000
0 5 0 1 1957 1958 518984.000000 518984.000000 518984.000000
5 10 0 1 1957 1958 403396.000000 403396.000000 403396.000000
10 15 0 1 1957 1958 336240.000000 336240.000000 336240.000000
15 20 0 1 1957 1958 286179.000000 286179.000000 286179.000000
20 25 0 1 1957 1958 242432.000000 242432.000000 242432.000000
25 30 0 1 1957 1958 204486.000000 204486.000000 204486.000000
30 35 0 1 1957 1958 172865.000000 172865.000000 172865.000000
35 40 0 1 1957 1958 144997.000000 144997.000000 144997.000000
40 45 0 1 1957 1958 120639.000000 120639.000000 120639.000000
45 50 0 1 1957 1958 99174.000000 99174.000000 99174.000000
50 55 0 1 1957 1958 79511.000000 79511.000000 79511.000000
55 60 0 1 1957 1958 62093.000000 62093.000000 62093.000000
60 65 0 1 1957 1958 43947.000000 43947.000000 43947.000000
65 70 0 1 1957 1958 30961.000000 30961.000000 30961.000000
70 120 0 1 1957 1958 41433.000000 41433.000000 41433.000000
0 5 0 1 1958 1959 537447.000000 537447.000000 537447.000000
5 10 0 1 1958 1959 415072.000000 415072.000000 415072.000000
10 15 0 1 1958 1959 346006.000000 346006.000000 346006.000000
15 20 0 1 1958 1959 293987.000000 293987.000000 293987.000000
20 25 0 1 1958 1959 249020.000000 249020.000000 249020.000000
25 30 0 1 1958 1959 209875.000000 209875.000000 209875.000000
30 35 0 1 1958 1959 177140.000000 177140.000000 177140.000000
35 40 0 1 1958 1959 148906.000000 148906.000000 148906.000000
40 45 0 1 1958 1959 123720.000000 123720.000000 123720.000000
45 50 0 1 1958 1959 101947.000000 101947.000000 101947.000000
50 55 0 1 1958 1959 81919.000000 81919.000000 81919.000000
55 60 0 1 1958 1959 63950.000000 63950.000000 63950.000000
60 65 0 1 1958 1959 46268.000000 46268.000000 46268.000000
65 70 0 1 1958 1959 31233.000000 31233.000000 31233.000000
70 120 0 1 1958 1959 42351.000000 42351.000000 42351.000000
0 5 0 1 1959 1960 557030.000000 557030.000000 557030.000000
5 10 0 1 1959 1960 426343.000000 426343.000000 426343.000000
10 15 0 1 1959 1960 356350.000000 356350.000000 356350.000000
15 20 0 1 1959 1960 302324.000000 302324.000000 302324.000000
20 25 0 1 1959 1960 256064.000000 256064.000000 256064.000000
25 30 0 1 1959 1960 215662.000000 215662.000000 215662.000000
30 35 0 1 1959 1960 181755.000000 181755.000000 181755.000000
35 40 0 1 1959 1960 153035.000000 153035.000000 153035.000000
40 45 0 1 1959 1960 127045.000000 127045.000000 127045.000000
45 50 0 1 1959 1960 104870.000000 104870.000000 104870.000000
50 55 0 1 1959 1960 84485.000000 84485.000000 84485.000000
55 60 0 1 1959 1960 65958.000000 65958.000000 65958.000000
60 65 0 1 1959 1960 48631.000000 48631.000000 48631.000000
65 70 0 1 1959 1960 31921.000000 31921.000000 31921.000000
70 120 0 1 1959 1960 43010.000000 43010.000000 43010.000000
0 5 0 1 1960 1961 578828.000000 578828.000000 578828.000000
5 10 0 1 1960 1961 437478.000000 437478.000000 437478.000000
10 15 0 1 1960 1961 366503.000000 366503.000000 366503.000000
15 20 0 1 1960 1961 311199.000000 311199.000000 311199.000000
20 25 0 1 1960 1961 263560.000000 263560.000000 263560.000000
25 30 0 1 1960 1961 221853.000000 221853.000000 221853.000000
30 35 0 1 1960 1961 186739.000000 186739.000000 186739.000000
35 40 0 1 1960 1961 157328.000000 157328.000000 157328.000000
40 45 0 1 1960 1961 130643.000000 130643.000000 130643.000000
45 50 0 1 1960 1961 107927.000000 107927.000000 107927.000000
50 55 0 1 1960 1961 87190.000000 87190.000000 87190.000000
55 60 0 1 1960 1961 68185.000000 68185.000000 68185.000000
60 65 0 1 1960 1961 50885.000000 50885.000000 50885.000000
65 70 0 1 1960 1961 33135.000000 33135.000000 33135.000000
70 120 0 1 1960 1961 43393.000000 43393.000000 43393.000000
0 5 0 1 1961 1962 604986.000000 604986.000000 604986.000000
5 10 0 1 1961 1962 454077.000000 454077.000000 454077.000000
