entries = 23
description index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval
mu 	 0 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
b 	 1 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
zeta 	 2 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
chi_i+ 	 3 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
chi_i- 	 4 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
chi_n 	 5 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
<<k>>beta(0)	 6 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000
alfa 	 7 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
alfa_chi 	 8 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000
p	9 	 0 	 5 	 0 	 3 	 0.187 	 0.1563 	 0.221
p	9 	 6 	 10 	 0 	 3 	 0.0225 	 0.02 	 0.025
p	9 	 11 	 120 	 0 	 3 	 0.15	 0.10 	 0.20
p_SP	10	0	15	0	3	0.1	0.085 0.115
p_SP	10	16	70	0	3	0.5	0.425 0.575
p_NP	11	0	15	0	3	0.25	0.2125 0.2875
p_NP	11	16	70	0	3	0.1	0.085 0.115
pf_SP	12 	 0 	 120 	 0 	 3	0.007888	0.007087	0.008687
pdef_SP	13 	 0 	 120 	 0 	 3	0.031177	0.029637	0.032714
pdeath_SP	14 	 0 	 120 	 0 	 3	0.067003	0.064864	0.069137
pf_SN	15 	 0 	 120 	 0 	 3	0.001350	0.001127	0.001574
pdef_SN	16 	 0 	 120 	 0 	 3	0.033955	0.032883	0.035025
pdeath_SN	17 	 0 	 120 	 0 	 3	0.075434	0.073934	0.076932
eta	18	0	120	0	3	0.843137	0.664281	1.021994
